Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,867.000,5.708,1.230,3.383,4.932,7.377,9.837,11.662,14.400,22.215,0.175
5,977.800,4.914,1.056,3.178,4.243,6.056,8.286,9.766,12.449,16.434,0.204
10,936.000,5.282,1.173,3.697,4.862,6.423,8.239,9.501,12.003,15.989,0.189
15,932.000,5.254,1.052,3.553,4.788,6.430,8.306,9.686,12.495,16.836,0.190
20,905.200,5.499,1.114,3.616,4.927,6.829,9.109,10.672,13.044,16.289,0.182
25,905.800,5.482,1.412,3.715,5.010,6.729,8.696,10.075,13.018,16.888,0.182
30,914.200,5.310,1.312,3.648,4.887,6.474,8.385,9.658,12.283,16.820,0.188
35,882.800,5.583,0.981,3.874,5.145,6.835,8.755,10.093,12.532,19.905,0.179
40,1020.000,4.766,1.044,3.401,4.409,5.789,7.347,8.278,10.410,15.518,0.210
45,1039.000,4.700,1.089,3.268,4.195,5.606,7.454,8.822,11.501,19.101,0.213
50,1002.800,4.860,1.332,3.426,4.449,5.907,7.525,8.596,10.527,14.889,0.206
55,937.200,5.339,0.978,3.563,4.806,6.564,8.623,10.102,13.059,18.836,0.187
60,182.600,5.456,1.064,3.998,5.224,6.604,8.057,9.095,10.719,12.098,0.183
