Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,74.400,27.179,13.881,18.095,25.098,33.223,40.758,47.222,55.768,68.053,0.037
5,91.200,25.221,14.184,17.863,23.213,30.475,36.846,42.765,50.036,55.865,0.040
10,83.200,27.452,14.100,21.242,26.486,32.188,38.442,42.086,50.557,54.743,0.036
15,83.600,27.285,14.477,21.370,25.155,32.212,39.007,43.262,50.219,62.057,0.037
20,78.600,27.612,14.919,20.356,25.519,31.989,41.698,45.906,56.528,60.261,0.036
25,76.000,28.268,14.436,22.147,28.261,32.845,38.603,44.535,54.680,59.958,0.035
30,83.800,28.324,14.377,22.208,27.566,32.435,38.084,45.066,52.120,58.127,0.035
35,76.000,29.095,15.028,21.871,27.749,34.511,40.239,46.416,51.375,69.407,0.034
40,95.200,25.473,14.048,20.403,24.309,29.632,34.139,37.429,47.121,51.760,0.039
45,93.000,24.895,13.838,19.616,23.358,28.403,35.095,38.774,46.826,50.330,0.040
50,89.800,25.904,14.729,20.017,24.811,30.297,36.205,39.774,43.128,48.436,0.039
55,79.000,27.328,14.142,20.784,26.031,31.802,39.027,44.536,52.275,68.240,0.037
60,15.400,27.565,16.148,23.010,27.912,31.766,37.177,40.232,45.440,45.440,0.036
