Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,1942.600,5.134,0.241,1.967,3.157,5.889,10.292,15.777,33.118,68.053,0.195
5,2206.400,4.516,0.222,1.652,2.826,5.018,8.792,14.932,30.654,55.865,0.221
10,2034.400,4.908,0.227,1.949,3.135,5.607,8.912,14.564,32.251,54.743,0.204
15,2065.200,4.828,0.192,1.828,3.027,5.538,8.876,14.737,32.224,62.057,0.207
20,1991.000,5.012,0.207,1.890,3.136,5.679,9.783,15.771,31.961,60.261,0.200
25,2020.200,4.938,0.190,1.914,3.059,5.685,9.238,14.672,32.404,59.958,0.202
30,2031.800,4.913,0.182,1.888,3.066,5.538,9.021,14.593,32.556,58.127,0.204
35,1955.800,5.102,0.233,1.969,3.174,5.892,9.542,15.252,34.372,69.407,0.196
40,2242.000,4.455,0.226,1.689,2.837,5.043,7.957,13.595,29.958,51.760,0.224
45,2311.000,4.327,0.189,1.617,2.768,4.788,8.058,13.334,28.832,50.330,0.231
50,2248.800,4.436,0.218,1.689,2.812,5.074,7.937,12.943,30.297,48.436,0.225
55,2099.800,4.754,0.212,1.807,3.013,5.461,9.002,13.848,31.512,68.240,0.210
60,407.000,4.874,0.228,1.982,3.086,5.789,8.400,14.530,31.281,45.440,0.205
