Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,155.800,0.380,0.195,0.297,0.353,0.429,0.513,0.605,0.911,1.418,2.632
5,174.000,0.321,0.175,0.269,0.307,0.362,0.419,0.454,0.521,0.707,3.114
10,159.800,0.328,0.182,0.266,0.306,0.361,0.411,0.458,0.542,7.795,3.051
15,164.800,0.312,0.165,0.260,0.299,0.353,0.406,0.445,0.539,0.614,3.202
20,164.200,0.313,0.164,0.261,0.299,0.351,0.405,0.447,0.540,2.128,3.194
25,165.000,0.320,0.168,0.257,0.301,0.352,0.416,0.467,0.580,3.643,3.126
30,165.200,0.311,0.159,0.259,0.300,0.351,0.407,0.433,0.550,0.638,3.217
35,163.600,0.301,0.163,0.257,0.289,0.339,0.388,0.425,0.488,0.573,3.319
40,165.600,0.302,0.160,0.252,0.289,0.341,0.399,0.434,0.492,0.717,3.314
45,153.000,0.311,0.167,0.261,0.297,0.350,0.406,0.450,0.533,0.748,3.218
50,159.400,0.312,0.183,0.263,0.299,0.349,0.399,0.438,0.571,2.041,3.202
55,152.400,0.311,0.179,0.261,0.296,0.354,0.413,0.455,0.534,0.635,3.212
60,36.200,0.298,0.175,0.251,0.282,0.336,0.392,0.424,0.567,0.604,3.353
