Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,1716.000,0.603,0.287,0.505,0.578,0.679,0.779,0.840,0.994,7.428,1.657
5,1754.400,0.573,0.303,0.485,0.549,0.641,0.734,0.785,0.898,8.136,1.746
10,1749.600,0.575,0.272,0.487,0.552,0.645,0.737,0.790,0.921,8.056,1.739
15,1752.400,0.572,0.295,0.480,0.548,0.644,0.737,0.790,0.918,7.711,1.747
20,1781.800,0.571,0.301,0.478,0.545,0.642,0.739,0.791,0.911,7.642,1.753
25,1743.000,0.580,0.310,0.484,0.553,0.656,0.757,0.812,0.979,5.408,1.724
30,1763.000,0.569,0.302,0.485,0.549,0.640,0.734,0.781,0.876,2.390,1.756
35,1795.600,0.574,0.309,0.490,0.552,0.641,0.730,0.779,0.880,7.497,1.743
40,1750.600,0.575,0.309,0.489,0.554,0.646,0.735,0.788,0.879,6.982,1.740
45,1721.400,0.580,0.297,0.492,0.560,0.655,0.745,0.790,0.881,3.717,1.724
50,1730.400,0.575,0.311,0.487,0.553,0.644,0.735,0.783,0.884,8.065,1.740
55,1715.200,0.579,0.305,0.486,0.554,0.656,0.749,0.804,0.934,8.139,1.729
60,334.400,0.565,0.310,0.482,0.548,0.637,0.731,0.783,0.844,1.826,1.771
