Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,391.000,3.003,1.007,2.027,2.586,3.354,4.163,4.661,6.305,105.645,0.333
5,391.000,2.384,0.962,1.759,2.218,2.821,3.722,4.139,4.757,5.199,0.420
10,382.200,2.413,0.837,1.750,2.269,2.919,3.700,4.167,4.748,6.057,0.414
15,402.400,2.289,0.777,1.680,2.133,2.752,3.529,3.949,4.608,5.309,0.437
20,407.000,2.362,0.757,1.718,2.224,2.857,3.648,4.047,4.613,5.155,0.423
25,369.400,2.281,0.896,1.664,2.139,2.745,3.481,3.941,4.605,5.696,0.438
30,387.400,2.294,0.969,1.648,2.132,2.738,3.604,4.030,4.610,5.323,0.436
35,370.800,2.325,0.760,1.698,2.209,2.752,3.518,3.922,4.566,5.002,0.430
40,405.600,2.299,0.943,1.681,2.166,2.757,3.490,4.044,4.534,5.370,0.435
45,363.800,2.359,0.853,1.712,2.217,2.889,3.603,4.025,4.567,5.147,0.424
50,359.800,2.308,0.804,1.671,2.166,2.773,3.511,3.951,4.596,5.269,0.433
55,407.400,2.349,0.922,1.700,2.210,2.830,3.618,4.072,4.732,5.617,0.426
