Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,33.800,2.516,0.288,0.528,0.750,1.009,1.274,2.025,48.248,54.232,0.397
5,39.600,0.598,0.192,0.295,0.372,0.480,0.604,0.662,1.054,39.093,1.672
10,40.800,0.381,0.212,0.290,0.360,0.450,0.551,0.601,0.710,0.777,2.624
15,36.800,0.336,0.173,0.264,0.309,0.402,0.493,0.527,0.616,0.658,2.974
20,38.200,0.357,0.191,0.266,0.323,0.432,0.530,0.562,0.711,0.882,2.798
25,33.600,0.338,0.170,0.256,0.308,0.397,0.505,0.566,0.666,0.771,2.956
30,31.200,0.356,0.189,0.268,0.335,0.432,0.500,0.555,0.686,0.738,2.809
35,30.400,0.380,0.197,0.267,0.363,0.476,0.567,0.639,0.726,0.778,2.633
40,32.200,0.361,0.203,0.266,0.330,0.417,0.540,0.602,0.800,0.807,2.771
45,30.600,0.431,0.188,0.330,0.402,0.527,0.626,0.671,0.944,0.981,2.319
50,33.600,0.457,0.181,0.313,0.414,0.544,0.660,0.762,1.080,4.383,2.187
55,39.800,0.431,0.193,0.289,0.403,0.515,0.648,0.732,1.267,1.604,2.322
