Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,359.400,1.269,0.369,0.621,0.817,1.026,1.299,1.663,5.554,147.049,0.788
5,372.800,0.679,0.357,0.501,0.612,0.838,0.999,1.072,1.249,1.944,1.472
10,353.600,0.690,0.358,0.516,0.631,0.845,1.006,1.079,1.228,1.817,1.449
15,389.200,0.656,0.358,0.493,0.594,0.797,0.955,1.030,1.178,3.217,1.525
20,406.000,0.667,0.353,0.496,0.601,0.849,0.965,1.018,1.163,2.997,1.499
25,373.000,0.637,0.342,0.486,0.573,0.786,0.928,0.988,1.149,1.855,1.569
30,380.000,0.660,0.349,0.489,0.594,0.815,0.956,1.028,1.185,3.707,1.516
35,355.200,0.652,0.346,0.487,0.596,0.802,0.943,1.010,1.185,2.438,1.533
40,391.800,0.653,0.347,0.488,0.597,0.806,0.945,1.020,1.176,1.491,1.531
45,348.200,0.665,0.366,0.494,0.595,0.828,0.960,1.031,1.208,2.012,1.504
50,384.400,0.657,0.338,0.490,0.595,0.794,0.948,1.005,1.175,5.241,1.522
55,393.000,0.662,0.339,0.488,0.596,0.818,0.962,1.034,1.169,7.017,1.511
