Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,32.600,1.901,0.885,1.262,1.553,2.144,2.827,3.365,4.882,22.444,0.526
5,34.400,1.283,0.883,1.070,1.257,1.472,1.591,1.655,1.946,1.979,0.780
10,36.800,1.247,0.883,1.040,1.178,1.474,1.585,1.646,1.705,1.736,0.802
15,34.000,1.237,0.877,1.044,1.165,1.450,1.532,1.586,1.698,1.713,0.808
20,40.000,1.268,0.839,1.051,1.219,1.486,1.573,1.663,1.725,1.727,0.788
25,32.600,1.241,0.837,1.047,1.154,1.465,1.578,1.622,1.698,1.702,0.806
30,35.000,1.268,0.885,1.083,1.206,1.463,1.577,1.621,1.739,1.740,0.789
35,36.000,1.226,0.914,1.049,1.155,1.420,1.522,1.600,1.775,1.803,0.816
40,38.200,1.254,0.871,1.062,1.188,1.470,1.571,1.639,1.798,1.831,0.798
45,32.000,1.254,0.896,1.038,1.202,1.489,1.586,1.675,1.715,1.717,0.798
50,35.400,1.225,0.849,1.042,1.147,1.410,1.542,1.608,1.649,1.657,0.816
55,33.400,1.214,0.841,1.042,1.156,1.373,1.548,1.607,1.745,1.746,0.824
