Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,850.000,12.206,0.288,0.841,1.610,2.750,4.041,6.145,363.829,529.068,0.082
5,872.800,11.211,0.192,0.607,1.206,2.284,3.489,4.534,359.253,568.691,0.089
10,849.400,11.964,0.212,0.625,1.211,2.338,3.522,4.564,357.963,473.223,0.084
15,899.000,11.085,0.173,0.584,1.154,2.187,3.319,4.423,340.203,491.439,0.090
20,924.200,10.662,0.191,0.588,1.123,2.245,3.303,4.247,357.005,589.007,0.094
25,845.400,11.916,0.170,0.563,1.116,2.188,3.276,4.454,352.470,491.356,0.084
30,867.800,11.579,0.189,0.589,1.151,2.177,3.328,4.396,365.996,472.532,0.086
35,825.800,12.104,0.197,0.597,1.181,2.268,3.276,4.297,374.383,492.052,0.083
40,901.000,10.991,0.203,0.596,1.146,2.214,3.263,4.277,357.252,482.880,0.091
45,810.000,12.473,0.188,0.599,1.192,2.292,3.456,4.465,358.820,514.778,0.080
50,846.600,11.678,0.181,0.582,1.067,2.179,3.275,4.392,353.361,531.454,0.086
55,906.200,10.695,0.193,0.589,1.133,2.237,3.328,4.312,333.933,499.461,0.093
