Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,801,801.000,535,1176,2150,13794,3543,5835,63922,287534,459448
1,872,872.000,402,831,1671,11876,2635,3703,4887,390138,498477
2,974,974.000,386,775,1356,9880,2658,3730,4437,367743,444944
3,827,827.000,319,834,1493,12028,2645,3700,4606,351764,461478
4,776,776.000,288,696,1435,14044,2471,3781,124063,364994,529068
5,853,853.000,326,628,1244,10588,2266,3326,4605,280560,422634
6,915,915.000,197,640,1181,11149,2430,3834,4692,287446,511266
7,854,854.000,223,638,1267,11348,2301,3462,4389,373531,474531
8,808,808.000,192,636,1280,12466,2337,3519,4888,339196,493615
9,934,934.000,206,540,1094,10628,2166,3137,4292,372827,568691
10,1009,1009.000,242,666,1219,10420,2349,3481,4418,346247,434562
11,684,684.000,249,643,1222,13916,2338,3958,119285,375128,471441
12,866,866.000,240,598,1213,12422,2321,3479,4535,348762,449496
13,860,860.000,223,619,1123,12181,2477,3652,4865,349976,448021
14,828,828.000,212,588,1289,11525,2221,3293,4167,363356,473223
15,798,798.000,214,566,1127,12196,2163,3354,4962,354754,444081
16,825,825.000,173,551,1151,12162,2073,3327,4615,310640,474837
17,917,917.000,211,591,1150,10553,2157,3279,4227,369922,491439
18,1136,1136.000,192,600,1175,9197,2212,3207,3965,283952,468166
19,819,819.000,186,609,1179,12128,2344,3533,4586,361947,451212
20,1039,1039.000,211,569,1109,9727,2130,3174,3975,362221,425498
21,873,873.000,218,624,1222,10882,2236,3248,4349,357005,589007
22,898,898.000,191,630,1217,10591,2347,3505,4284,361033,447424
23,903,903.000,212,556,1036,11857,2207,3366,4602,340285,463449
24,908,908.000,199,591,1079,10400,2284,3307,4254,332079,434336
25,795,795.000,208,552,1097,13065,2235,3465,4169,369199,491356
26,889,889.000,190,545,1063,11144,2141,3033,4485,342132,439829
27,815,815.000,202,583,1109,12742,2193,3220,4657,347768,443031
28,746,746.000,170,541,1153,13035,2079,3366,4890,369091,464453
29,982,982.000,200,576,1177,10145,2238,3283,4298,346036,460222
30,910,910.000,189,593,1127,11050,2208,3290,4443,352834,437292
31,869,869.000,207,564,1125,10894,2068,3124,4268,361863,434902
32,1027,1027.000,215,558,1083,10050,2132,2984,4087,363978,472532
33,798,798.000,214,650,1213,11976,2267,3568,4557,366971,428048
34,735,735.000,211,630,1181,14750,2339,3670,5323,400688,454560
35,1004,1004.000,214,586,1097,10123,2243,3189,4111,345723,492052
36,679,679.000,219,557,1175,14071,2099,3131,4689,381904,428254
37,653,653.000,197,671,1371,15215,2402,3726,124272,387788,463164
38,847,847.000,232,585,1155,11732,2277,3272,4232,369877,447464
39,946,946.000,202,595,1188,10980,2295,3217,4132,336702,466237
40,865,865.000,206,596,1184,11037,2254,3232,4377,346896,452292
41,758,758.000,211,625,1237,12715,2301,3456,4491,369686,476442
42,880,880.000,207,583,1136,11898,2114,3313,4287,375547,463389
43,972,972.000,203,557,1083,10414,2124,2995,4238,360215,482880
44,1030,1030.000,217,630,1133,9450,2278,3263,4090,335717,431642
45,774,774.000,212,674,1255,13086,2357,3518,4455,372022,478823
46,876,876.000,188,599,1125,11552,2300,3439,4376,347511,448798
47,631,631.000,212,609,1205,15413,2327,3623,121836,353582,514778
48,886,886.000,198,589,1159,11394,2317,3445,4399,341379,429001
49,883,883.000,217,553,1198,11831,2165,3202,4585,359275,469030
50,692,692.000,230,589,1058,13743,2196,3437,4548,388300,456271
51,897,897.000,181,556,1068,11566,2070,2972,4295,365042,469875
52,887,887.000,183,564,1034,11271,2145,3164,4558,355895,531454
53,926,926.000,214,598,1082,10739,2166,3205,4292,345178,457835
54,831,831.000,204,625,1105,11561,2285,3511,4402,348031,398663
55,789,789.000,200,611,1177,12492,2335,3480,4425,364879,403044
56,875,875.000,206,569,1211,11726,2221,3401,4732,357327,499461
57,1117,1117.000,213,585,1063,9118,2225,3174,3824,273342,467382
58,950,950.000,205,608,1156,11052,2245,3334,4377,366431,467087
59,800,800.000,193,563,1094,9572,2217,3325,4181,308761,470589
