Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,9.600,492.241,198.365,274.751,596.228,640.458,750.164,768.249,799.462,799.462,0.002
5,5.000,442.095,210.098,238.774,427.686,660.181,756.572,767.413,794.656,794.656,0.002
10,8.200,525.789,197.990,249.816,498.540,734.447,786.957,953.890,1144.062,1144.062,0.002
15,8.000,452.087,235.873,248.816,426.286,723.618,775.191,1000.425,1062.201,1062.201,0.002
20,8.200,507.175,238.642,263.585,488.326,723.521,743.212,753.865,925.303,925.303,0.002
25,8.600,454.666,237.375,248.996,436.778,597.795,739.680,774.101,1181.013,1181.013,0.002
30,7.200,472.138,240.748,249.510,426.427,713.271,757.128,1020.424,1154.260,1154.260,0.002
35,7.200,479.527,238.597,250.160,267.625,737.734,957.040,1063.961,1128.940,1128.940,0.002
40,8.000,516.598,240.945,251.215,490.952,737.651,788.194,1021.999,1170.086,1170.086,0.002
45,6.400,446.582,239.474,246.800,438.220,549.736,727.559,881.529,1167.941,1167.941,0.002
50,6.400,393.020,239.438,242.642,271.535,486.070,734.660,814.262,1137.904,1137.904,0.003
55,5.600,462.553,240.758,248.431,487.212,706.157,732.765,775.543,932.851,932.851,0.002
