Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,92.600,11.826,8.014,10.375,10.988,11.842,13.283,16.058,24.891,148.601,0.085
5,105.400,10.938,8.346,10.334,10.783,11.351,11.956,12.370,15.468,18.332,0.091
10,108.400,10.732,8.823,10.192,10.610,11.134,11.697,12.004,14.864,17.141,0.093
15,107.800,11.054,9.093,10.395,10.881,11.369,12.017,12.888,16.956,19.697,0.090
20,111.600,11.132,9.211,10.421,10.908,11.475,12.178,13.464,16.514,18.640,0.090
25,99.400,11.157,9.227,10.371,10.940,11.486,12.258,13.757,16.749,18.470,0.090
30,100.800,11.546,9.574,10.769,11.278,11.903,13.286,14.313,15.544,17.275,0.087
35,100.200,11.732,9.297,10.843,11.343,12.020,13.939,15.092,16.068,18.662,0.085
40,94.600,11.677,9.718,10.908,11.371,11.989,13.449,14.404,16.069,19.209,0.086
45,85.800,11.880,9.422,10.989,11.457,12.279,14.224,14.877,16.695,17.292,0.084
50,90.800,11.670,9.017,10.783,11.372,12.099,13.603,14.802,17.142,18.147,0.086
55,96.200,11.164,8.527,10.207,10.933,11.699,12.769,13.585,17.982,25.147,0.090
