Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,1069.600,5.709,1.844,3.869,4.843,5.816,6.704,7.460,10.584,1035.482,0.175
5,1243.800,4.814,2.067,3.802,4.744,5.697,6.397,6.778,7.946,12.572,0.208
10,1249.800,4.964,2.251,3.855,4.718,5.660,6.348,6.725,7.737,1036.062,0.201
15,1269.000,5.090,2.050,3.933,4.860,5.763,6.489,6.953,8.412,1034.260,0.196
20,1205.200,5.308,2.239,4.094,5.024,6.003,6.772,7.259,9.271,1035.357,0.188
25,1187.400,5.503,2.076,4.137,5.063,6.023,6.797,7.268,8.923,1038.821,0.182
30,1177.200,5.418,2.389,4.402,5.320,6.296,7.108,7.680,9.348,14.317,0.185
35,1118.800,5.569,2.573,4.536,5.465,6.448,7.308,7.864,9.462,19.075,0.180
40,1085.400,5.673,2.763,4.608,5.588,6.585,7.355,7.929,9.521,13.978,0.176
45,1063.400,5.815,2.323,4.780,5.747,6.686,7.492,8.087,9.735,15.030,0.172
50,1046.000,5.914,2.232,4.746,5.633,6.581,7.308,7.820,9.441,1047.312,0.169
55,1032.000,5.892,2.038,4.508,5.385,6.345,7.164,7.647,9.266,1053.128,0.170
