Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,2334.800,4.341,0.492,1.296,2.886,5.106,6.616,10.078,46.245,1035.482,0.230
5,2754.000,3.571,0.528,1.313,2.194,4.919,6.258,7.717,11.956,106.563,0.280
10,2763.400,3.631,0.516,1.396,2.257,4.895,6.187,7.350,11.447,1036.062,0.275
15,2821.400,3.518,0.442,1.450,2.226,4.982,6.279,7.453,11.517,1034.260,0.284
20,2725.800,3.663,0.548,1.595,2.312,5.130,6.571,8.114,11.610,1035.357,0.273
25,2628.600,3.798,0.502,1.707,2.531,5.204,6.570,7.777,11.560,1038.821,0.263
30,2598.200,3.844,0.540,1.861,2.792,5.465,6.855,8.385,11.889,59.310,0.260
35,2499.400,3.999,0.641,2.046,2.918,5.595,7.056,8.661,12.022,19.075,0.250
40,2433.000,4.104,0.568,2.198,2.978,5.714,7.122,8.612,12.017,19.209,0.244
45,2355.000,4.243,0.817,2.334,3.200,5.849,7.230,8.592,12.248,17.292,0.236
50,2294.200,4.357,0.458,2.403,3.361,5.777,7.140,8.579,12.172,1047.312,0.230
55,2319.600,4.234,0.491,2.311,3.122,5.504,6.990,8.677,12.118,1053.128,0.236
