Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,179.000,0.576,0.202,0.374,0.458,0.630,0.943,1.240,1.892,9.363,1.737
5,165.400,0.504,0.227,0.358,0.419,0.555,0.846,1.013,1.315,1.607,1.985
10,132.400,0.593,0.239,0.386,0.513,0.726,1.010,1.155,1.403,1.726,1.685
15,147.000,0.568,0.240,0.365,0.484,0.685,0.952,1.116,1.349,3.958,1.759
20,137.800,0.552,0.219,0.353,0.458,0.700,0.950,1.068,1.455,1.906,1.811
25,161.400,0.518,0.229,0.355,0.435,0.587,0.839,1.004,1.353,2.595,1.931
30,133.000,0.577,0.225,0.358,0.465,0.723,1.040,1.176,1.495,2.039,1.734
35,168.800,0.494,0.203,0.340,0.413,0.561,0.781,0.936,1.460,4.738,2.024
40,133.400,0.560,0.212,0.349,0.435,0.642,1.063,1.206,1.675,2.379,1.786
45,156.600,0.506,0.235,0.342,0.424,0.591,0.828,0.988,1.383,2.872,1.977
50,147.400,0.542,0.223,0.358,0.438,0.661,0.943,1.115,1.359,2.022,1.844
55,146.400,0.525,0.224,0.366,0.464,0.602,0.819,0.994,1.408,2.877,1.905
