Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,167.800,1.610,0.963,1.248,1.412,1.701,2.376,2.928,4.216,5.260,0.621
5,171.800,1.585,0.851,1.230,1.398,1.772,2.363,2.748,3.606,4.386,0.631
10,141.400,1.831,0.895,1.336,1.629,2.142,2.777,3.337,4.062,5.263,0.546
15,144.000,1.768,0.823,1.309,1.561,2.092,2.700,2.953,3.727,4.664,0.566
20,143.000,1.811,0.916,1.285,1.539,2.183,2.931,3.258,4.035,5.166,0.552
25,154.000,1.631,0.876,1.262,1.457,1.829,2.506,2.861,3.387,4.083,0.613
30,143.200,1.860,0.835,1.264,1.559,2.240,3.032,3.431,4.284,10.720,0.538
35,168.000,1.641,0.838,1.250,1.434,1.867,2.424,2.869,3.547,4.520,0.610
40,136.400,1.811,0.822,1.260,1.474,2.142,3.002,3.499,4.483,5.981,0.552
45,149.800,1.654,0.895,1.253,1.448,1.893,2.501,2.914,3.483,4.571,0.605
50,145.800,1.772,0.862,1.277,1.549,2.086,2.813,3.191,3.768,4.663,0.564
55,141.000,1.781,0.927,1.390,1.631,2.026,2.477,2.850,3.759,5.801,0.561
