Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,3496,3496.000,356,906,1966,2853,3457,5074,7028,14119,100375
1,4541,4541.000,241,801,1674,2200,3117,4210,5866,8238,17993
2,3490,3490.000,267,920,1974,2855,3753,6443,7899,13245,19080
3,4994,4994.000,272,734,1490,1993,2936,3794,4767,7214,11403
4,5154,5154.000,202,725,1444,1936,2856,3680,4486,7160,12721
5,4036,4036.000,249,833,1757,2470,3339,5371,6711,10419,17925
6,3563,3563.000,272,850,2035,2798,3426,6527,8160,12564,21523
7,4985,4985.000,265,728,1448,1999,2899,3879,5371,7346,12849
8,4369,4369.000,227,794,1605,2284,3199,4757,6204,9441,15814
9,3888,3888.000,264,817,1863,2562,3307,5676,7418,11392,18680
10,4320,4320.000,249,756,1752,2306,3080,4788,6486,9938,21202
11,4545,4545.000,239,800,1565,2202,3125,4378,6028,8870,14971
12,2636,2636.000,292,1335,2522,3773,5248,8314,10220,17709,23476
13,3027,3027.000,264,1194,2107,3292,4696,7073,9061,14160,20712
14,2781,2781.000,287,1152,2386,3585,4806,8272,10654,17607,23782
15,3681,3681.000,240,880,1933,2715,3467,6105,7585,12407,20075
16,3716,3716.000,258,872,1946,2679,3432,6008,7440,11987,20377
17,3760,3760.000,248,797,1933,2651,3286,6085,8052,12773,23673
18,3781,3781.000,262,882,1850,2641,3569,5790,7141,11291,20820
19,3217,3217.000,265,1087,2104,3106,4329,6937,8583,11879,18901
20,2847,2847.000,219,1208,2290,3500,4675,7925,10212,16742,26365
21,3965,3965.000,231,769,1870,2517,3195,5932,7276,11981,22462
22,4429,4429.000,248,775,1661,2254,3169,4513,6143,8481,16206
23,3254,3254.000,256,1092,2100,3066,4116,6661,8304,13322,23385
24,3343,3343.000,244,925,2053,2983,3814,6612,8468,15647,23522
25,3867,3867.000,263,815,1856,2581,3321,5673,7297,11905,20796
26,3972,3972.000,247,869,1814,2515,3424,5478,6776,10856,16691
27,3670,3670.000,264,853,1923,2720,3445,6212,7809,12227,24002
28,4499,4499.000,229,760,1638,2220,3066,4531,6255,8449,15032
29,3480,3480.000,260,890,2053,2868,3560,6626,8401,12779,24657
30,4150,4150.000,226,778,1756,2407,3108,5414,6967,10310,21479
31,3133,3133.000,265,986,2235,3181,4031,7054,9283,14851,26695
32,3229,3229.000,225,984,1997,3103,3819,6848,9111,16358,40562
33,2721,2721.000,274,1203,2377,3660,4937,8408,10181,19795,25334
34,3857,3857.000,239,796,1847,2586,3285,6055,7564,12038,20683
35,3835,3835.000,245,751,1878,2603,3199,6137,7714,12960,24747
36,4880,4880.000,225,740,1406,2046,2962,4040,5211,7973,13993
37,3764,3764.000,203,861,1782,2650,3464,5709,7291,12958,41589
38,3904,3904.000,241,824,1807,2561,3333,5634,7007,12427,20614
39,3680,3680.000,268,878,1983,2714,3489,6190,7995,10701,20885
40,3788,3788.000,232,787,1959,2633,3233,6019,7588,12314,23542
41,4542,4542.000,212,767,1698,2201,3090,4314,5701,9140,13068
42,2393,2393.000,250,1406,2615,4194,5483,9414,12027,23594,45923
43,2617,2617.000,265,1146,2459,3794,4879,9120,11330,22180,27328
44,3938,3938.000,225,787,1829,2534,3242,5807,7578,11344,23255
45,4423,4423.000,251,768,1609,2267,3104,4653,6238,10399,18434
46,3677,3677.000,244,813,1885,2710,3313,6124,8319,14139,32056
47,3708,3708.000,250,937,1827,2693,3636,5911,7271,12285,24639
48,3730,3730.000,243,863,1927,2678,3484,6246,7539,11456,23426
49,3811,3811.000,235,800,1904,2622,3254,6196,7505,12136,22389
50,3231,3231.000,252,943,2057,3095,3807,7247,9111,17061,34576
51,3753,3753.000,223,793,1836,2658,3333,6220,7745,13625,25517
52,3770,3770.000,246,972,1762,2655,3718,5496,6826,12113,21873
53,2537,2537.000,275,1498,2439,3934,5454,8957,10754,19434,49747
54,4247,4247.000,241,803,1634,2347,3186,4981,6780,9618,19661
55,3375,3375.000,242,997,2078,2957,3887,6317,8284,13788,20977
56,3339,3339.000,228,1075,2055,3001,4092,6332,7941,14391,36710
57,3115,3115.000,232,949,2262,3196,3973,7241,9306,16615,26632
58,4423,4423.000,224,818,1600,2259,3222,4492,5874,9800,24713
59,3892,3892.000,250,929,1778,2549,3534,5130,6429,11472,22894
