Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,203.200,0.536,0.256,0.375,0.437,0.532,0.786,1.047,2.003,11.841,1.867
5,226.000,0.392,0.249,0.343,0.378,0.430,0.489,0.521,0.578,0.761,2.552
10,236.000,0.387,0.243,0.337,0.371,0.427,0.482,0.522,0.584,2.129,2.583
15,226.400,0.388,0.235,0.338,0.375,0.425,0.485,0.526,0.584,0.789,2.580
20,236.400,0.384,0.237,0.338,0.375,0.425,0.468,0.505,0.570,0.644,2.601
25,229.000,0.384,0.257,0.332,0.371,0.422,0.480,0.514,0.590,0.693,2.607
30,249.200,0.381,0.232,0.330,0.366,0.412,0.467,0.496,0.572,3.010,2.626
35,221.600,0.401,0.199,0.331,0.373,0.429,0.498,0.588,0.983,1.720,2.492
40,217.600,0.394,0.234,0.329,0.367,0.423,0.491,0.542,0.953,1.794,2.540
45,216.800,0.402,0.253,0.328,0.370,0.423,0.497,0.578,1.236,2.301,2.485
50,214.200,0.388,0.239,0.327,0.364,0.414,0.474,0.519,0.750,3.165,2.578
55,218.000,0.391,0.239,0.333,0.373,0.425,0.486,0.527,0.750,3.153,2.559
