Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,188.400,1.176,0.703,0.904,0.985,1.126,1.550,2.304,4.064,17.344,0.850
5,233.400,0.939,0.671,0.862,0.923,0.998,1.095,1.139,1.234,2.902,1.065
10,233.000,0.914,0.657,0.843,0.898,0.968,1.064,1.115,1.196,2.551,1.095
15,231.000,0.895,0.640,0.818,0.880,0.953,1.050,1.098,1.201,1.525,1.117
20,228.600,0.882,0.608,0.812,0.870,0.938,1.023,1.072,1.148,1.367,1.134
25,239.400,0.861,0.615,0.790,0.846,0.912,0.997,1.049,1.161,2.728,1.161
30,233.200,0.851,0.605,0.781,0.834,0.902,0.982,1.033,1.114,2.719,1.175
35,215.400,0.893,0.590,0.779,0.839,0.932,1.040,1.172,2.163,3.639,1.120
40,207.600,0.882,0.638,0.782,0.837,0.924,1.028,1.113,1.879,3.366,1.134
45,214.200,0.881,0.623,0.770,0.827,0.914,1.022,1.120,2.068,4.696,1.135
50,207.000,0.855,0.611,0.772,0.826,0.892,0.983,1.042,1.582,3.106,1.169
55,219.000,0.885,0.611,0.775,0.831,0.916,1.026,1.092,1.571,17.618,1.130
