Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,152.800,7.805,5.562,6.934,7.445,7.974,8.973,10.040,18.977,49.558,0.128
5,173.200,6.980,4.871,6.592,6.924,7.327,7.669,7.970,8.790,9.871,0.143
10,185.000,6.957,5.073,6.591,6.912,7.269,7.664,7.951,8.830,13.519,0.144
15,197.800,6.993,5.771,6.652,6.971,7.300,7.602,7.804,8.308,9.352,0.143
20,200.800,7.048,5.514,6.689,7.012,7.401,7.721,7.894,8.548,10.373,0.142
25,193.200,7.515,5.445,6.840,7.257,7.695,8.228,8.775,15.916,23.287,0.133
30,198.000,7.320,5.844,6.848,7.179,7.538,7.952,8.217,11.837,24.064,0.137
35,202.200,7.208,5.594,6.866,7.193,7.512,7.835,8.109,8.554,9.857,0.139
40,198.400,7.238,5.856,6.883,7.211,7.494,7.815,8.067,8.851,15.904,0.138
45,200.000,7.304,4.374,6.936,7.248,7.552,7.856,8.167,10.061,17.112,0.137
50,192.600,7.303,5.723,6.961,7.288,7.605,7.915,8.150,8.848,9.837,0.137
55,200.200,7.336,5.907,7.022,7.295,7.605,7.902,8.141,8.554,10.320,0.136
