Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,1716.600,3.350,1.219,2.528,3.175,3.862,4.481,4.917,6.532,112.320,0.299
5,2108.200,2.974,1.355,2.328,2.941,3.543,3.997,4.261,4.888,9.859,0.336
10,2145.400,2.951,1.096,2.303,2.888,3.489,3.951,4.242,5.414,18.345,0.339
15,2231.200,2.889,1.313,2.278,2.852,3.442,3.894,4.139,4.574,7.783,0.346
20,2235.000,2.887,1.206,2.275,2.842,3.455,3.895,4.114,4.590,9.483,0.346
25,2174.400,2.936,1.218,2.306,2.878,3.482,3.925,4.204,5.007,13.517,0.341
30,2261.200,2.866,1.208,2.253,2.820,3.424,3.857,4.104,4.587,10.119,0.349
35,2238.800,2.888,1.243,2.291,2.860,3.445,3.860,4.086,4.512,6.927,0.346
40,2255.800,2.873,1.110,2.277,2.833,3.428,3.849,4.079,4.548,10.239,0.348
45,2219.000,2.881,1.082,2.277,2.826,3.428,3.842,4.065,4.542,12.060,0.347
50,2233.200,2.875,1.170,2.277,2.833,3.427,3.860,4.063,4.550,6.841,0.348
55,2213.800,2.886,1.118,2.291,2.850,3.442,3.855,4.069,4.494,6.118,0.347
