Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,1640.600,1.045,0.422,0.729,0.822,0.949,1.131,1.354,2.498,228.290,0.957
5,1998.800,0.787,0.469,0.678,0.752,0.846,0.948,1.021,1.456,4.110,1.270
10,2051.600,0.775,0.451,0.673,0.747,0.838,0.932,1.004,1.284,3.535,1.290
15,2112.000,0.767,0.454,0.677,0.745,0.832,0.930,0.996,1.169,3.921,1.304
20,2156.400,0.769,0.479,0.677,0.747,0.834,0.927,0.999,1.185,6.648,1.300
25,2128.400,0.772,0.417,0.679,0.749,0.840,0.938,1.006,1.189,3.976,1.295
30,2090.000,0.765,0.417,0.676,0.743,0.832,0.921,0.988,1.151,7.718,1.307
35,2097.400,0.769,0.459,0.680,0.747,0.831,0.923,0.990,1.166,4.154,1.301
40,2113.800,0.777,0.495,0.683,0.752,0.837,0.933,1.009,1.260,4.791,1.287
45,2120.800,0.785,0.383,0.684,0.755,0.840,0.936,1.011,1.283,12.475,1.274
50,2150.800,0.782,0.466,0.686,0.759,0.848,0.941,1.017,1.271,3.710,1.279
55,2152.000,0.776,0.482,0.686,0.754,0.836,0.931,0.999,1.219,4.279,1.288
