Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,3825.200,2.608,0.275,0.826,1.919,3.309,4.369,6.289,9.347,228.290,0.384
5,4661.600,2.140,0.246,0.750,1.792,3.028,3.870,4.519,7.392,60.719,0.467
10,4767.000,2.092,0.244,0.744,1.762,2.971,3.833,4.606,7.363,88.343,0.478
15,4933.800,2.023,0.233,0.743,1.748,2.939,3.775,4.380,7.312,49.840,0.494
20,4991.600,2.000,0.241,0.743,1.724,2.916,3.781,4.392,7.404,10.373,0.500
25,4894.200,2.040,0.197,0.746,1.726,2.953,3.807,4.489,7.723,23.287,0.490
30,4941.600,2.021,0.247,0.744,1.769,2.910,3.756,4.350,7.541,24.064,0.495
35,4927.200,2.027,0.261,0.747,1.767,2.955,3.756,4.337,7.528,9.857,0.493
40,4948.600,2.019,0.253,0.750,1.759,2.931,3.744,4.313,7.495,15.904,0.495
45,4942.000,2.022,0.249,0.753,1.748,2.916,3.753,4.343,7.588,17.112,0.495
50,4981.800,2.005,0.205,0.758,1.727,2.899,3.743,4.274,7.596,9.837,0.499
55,4950.400,2.014,0.234,0.751,1.740,2.923,3.756,4.308,7.610,10.320,0.496
