Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,2326,2326.000,535,1144,2547,4342,4194,6236,8986,54566,228290
1,3803,3803.000,375,854,1927,2590,3351,4470,5989,8812,58066
2,4075,4075.000,320,804,1913,2451,3227,4210,6120,8185,62495
3,4430,4430.000,275,791,1881,2259,3158,4037,4717,7717,57052
4,4492,4492.000,290,770,1763,2208,3094,4019,4781,7747,50489
5,4689,4689.000,273,749,1747,2138,3010,3821,4420,7396,51122
6,4680,4680.000,278,748,1785,2125,3059,3872,4477,7395,51206
7,4638,4638.000,270,751,1772,2149,3015,3915,4789,7590,54802
8,4673,4673.000,246,747,1807,2132,3021,3876,4530,7292,51799
9,4628,4628.000,279,753,1852,2155,3028,3878,4489,7365,60719
10,4583,4583.000,256,765,1831,2175,3051,3946,4734,7575,52689
11,4834,4834.000,277,747,1809,2063,2956,3768,4348,7339,51927
12,4708,4708.000,253,744,1720,2121,2981,3929,6038,7549,88343
13,4822,4822.000,272,738,1756,2073,2939,3743,4329,7255,52711
14,4888,4888.000,244,732,1692,2033,2932,3768,4371,7228,52390
15,4922,4922.000,278,738,1726,2026,2924,3816,4434,7383,49170
16,4937,4937.000,233,742,1692,2022,2897,3757,4445,7252,49840
17,4882,4882.000,287,738,1803,2043,2994,3778,4356,7262,48851
18,4979,4979.000,261,750,1750,2006,2919,3773,4362,7397,9352
19,4949,4949.000,272,747,1761,2018,2962,3765,4290,7369,8509
20,5003,5003.000,285,744,1732,1995,2894,3779,4399,7386,9813
21,4945,4945.000,267,750,1761,2018,2941,3785,4445,7460,10243
22,4982,4982.000,241,739,1706,2006,2896,3790,4506,7375,8949
23,5031,5031.000,264,743,1691,1985,2905,3754,4378,7344,10373
24,4997,4997.000,253,738,1735,1995,2946,3781,4200,7425,8742
25,4924,4924.000,263,754,1711,2027,2966,3823,4458,7546,13054
26,5021,5021.000,272,746,1631,1987,2917,3782,4278,7612,9029
27,4919,4919.000,263,739,1756,2029,2949,3778,4537,7635,10304
28,4566,4566.000,197,753,1811,2187,3037,3958,6375,9339,23287
29,5041,5041.000,272,741,1712,1978,2874,3728,4221,7545,9167
30,4896,4896.000,249,743,1764,2039,2945,3773,4528,7600,10283
31,4998,4998.000,274,744,1743,1997,2865,3740,4323,7583,8637
32,4962,4962.000,270,748,1781,2013,2932,3756,4229,7382,9455
33,4899,4899.000,268,748,1792,2038,2928,3752,4390,7557,12117
34,4953,4953.000,247,738,1758,2018,2879,3743,4297,7575,24064
35,4940,4940.000,267,744,1752,2020,2957,3732,4329,7524,9847
36,4974,4974.000,261,745,1726,2008,2946,3732,4340,7467,8734
37,4881,4881.000,269,754,1818,2046,2925,3763,4384,7504,9857
38,4894,4894.000,269,751,1752,2042,2973,3797,4436,7659,8623
39,4947,4947.000,276,739,1792,2017,2964,3747,4261,7500,9114
40,4898,4898.000,288,752,1797,2038,2938,3795,4378,7519,8563
41,4892,4892.000,258,749,1782,2044,2953,3787,4454,7513,8823
42,4989,4989.000,267,749,1708,2001,2947,3720,4202,7421,8851
43,4999,4999.000,272,751,1757,1999,2880,3699,4282,7514,8379
44,4965,4965.000,253,750,1739,2011,2934,3720,4247,7541,15904
45,5109,5109.000,265,744,1672,1956,2850,3706,4189,7503,9040
46,4923,4923.000,255,753,1765,2028,2950,3740,4298,7577,10653
47,4998,4998.000,249,748,1735,2000,2909,3760,4278,7480,8568
48,4876,4876.000,258,758,1787,2047,2927,3756,4492,7622,12238
49,4804,4804.000,259,766,1769,2081,2936,3807,4742,7887,17112
50,5053,5053.000,279,755,1696,1976,2879,3727,4220,7505,9103
51,4959,4959.000,205,753,1743,2013,2931,3763,4326,7534,8929
52,4943,4943.000,276,763,1757,2022,2880,3743,4312,7651,9837
53,5014,5014.000,256,769,1659,1990,2891,3758,4301,7646,9238
54,4940,4940.000,247,750,1757,2023,2925,3719,4308,7586,9424
55,4940,4940.000,273,753,1763,2022,2927,3744,4352,7638,10320
56,4980,4980.000,234,755,1746,2006,2914,3745,4194,7519,8382
57,4993,4993.000,268,741,1691,2002,2909,3753,4387,7556,9711
58,4939,4939.000,281,750,1722,2021,2959,3775,4365,7708,8611
59,4900,4900.000,277,756,1780,2019,2918,3762,4295,7600,10202
