Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,166.200,0.711,0.287,0.446,0.587,0.854,1.147,1.382,1.978,10.971,1.407
5,64.400,1.399,0.762,1.126,1.395,1.628,1.817,1.942,2.220,2.560,0.715
10,66.200,1.428,0.513,1.163,1.398,1.648,1.907,2.049,2.360,5.797,0.700
15,94.600,0.880,0.259,0.428,0.750,1.257,1.606,1.746,2.056,2.567,1.137
20,99.800,0.799,0.227,0.393,0.622,1.177,1.462,1.648,1.910,2.166,1.252
25,83.000,0.964,0.246,0.447,0.912,1.378,1.727,1.837,2.377,4.131,1.037
30,68.800,1.118,0.276,0.785,1.086,1.447,1.720,1.852,2.282,2.594,0.894
35,59.600,1.290,0.309,1.069,1.349,1.593,1.824,1.991,2.668,3.163,0.775
40,58.000,1.530,0.763,1.297,1.532,1.714,1.873,1.995,2.678,2.792,0.653
45,58.400,1.465,0.694,1.240,1.424,1.659,1.860,1.966,2.456,3.102,0.683
50,86.600,1.066,0.282,0.461,1.181,1.502,1.741,1.887,2.150,2.613,0.938
55,62.200,1.321,0.278,1.136,1.388,1.626,1.908,2.053,2.466,2.874,0.757
