Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,136.000,2.228,0.923,1.635,1.972,2.557,3.347,3.981,4.943,36.898,0.449
5,61.200,4.525,2.287,3.753,4.443,5.232,5.884,6.394,7.203,7.945,0.221
10,58.200,4.567,1.628,3.821,4.605,5.212,6.023,6.422,7.335,7.784,0.219
15,93.600,3.066,0.908,1.672,2.673,4.420,5.195,5.705,7.024,7.550,0.326
20,99.800,2.865,0.919,1.743,2.411,3.789,4.775,5.259,6.454,12.429,0.349
25,92.000,3.065,0.919,1.768,2.825,4.326,4.985,5.489,6.596,6.893,0.326
30,76.200,3.637,0.979,2.790,3.649,4.503,5.110,5.767,6.938,12.247,0.275
35,62.000,4.240,1.110,3.524,4.339,5.066,5.818,6.394,6.926,7.734,0.236
40,54.000,4.934,2.614,4.319,4.872,5.517,6.281,6.719,7.200,7.785,0.203
45,53.200,4.752,2.864,4.061,4.739,5.370,5.940,6.322,7.391,8.211,0.210
50,78.400,3.610,0.991,1.892,3.856,4.879,5.566,6.023,6.784,7.537,0.277
55,58.800,4.488,1.035,3.735,4.758,5.457,6.181,6.547,7.553,8.053,0.223
