Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,3738.400,2.670,0.287,0.848,1.944,3.398,5.745,7.366,12.391,94.797,0.375
5,1536.800,6.485,0.762,2.459,4.468,9.553,12.872,15.009,25.904,31.741,0.154
10,1512.200,6.592,0.513,2.544,4.475,9.774,13.156,15.183,26.373,32.693,0.152
15,2306.400,4.324,0.259,1.527,2.642,6.200,10.160,12.509,22.105,31.614,0.231
20,2524.600,3.951,0.227,1.141,2.519,5.063,9.480,12.177,21.615,34.917,0.253
25,2154.800,4.629,0.246,1.588,2.783,6.264,11.040,14.163,25.219,39.386,0.216
30,1863.400,5.355,0.276,2.034,3.202,7.781,11.458,14.089,24.414,46.830,0.187
35,1536.600,6.495,0.309,2.583,3.613,9.506,13.282,16.681,27.102,40.321,0.154
40,1391.200,7.175,0.763,2.758,5.040,10.598,13.937,16.036,27.001,31.134,0.139
45,1431.600,6.975,0.694,2.689,5.089,10.378,13.419,15.380,26.249,32.129,0.143
50,1965.000,5.080,0.282,1.954,2.994,7.643,11.715,13.928,25.120,32.293,0.197
55,1586.800,6.283,0.278,2.487,3.367,9.549,13.289,15.358,26.574,32.440,0.159
