Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,97.200,14.239,5.058,7.555,8.801,13.633,23.257,34.956,99.838,274.036,0.070
5,110.800,14.306,5.858,6.836,7.260,8.352,21.062,33.378,212.157,636.024,0.070
10,113.600,13.464,5.935,6.774,7.150,8.733,15.460,33.352,218.353,834.565,0.074
15,198.200,7.425,3.541,6.541,6.906,7.388,8.852,12.524,16.752,22.345,0.135
20,185.600,7.816,5.079,6.475,6.820,7.246,7.865,12.241,32.401,118.341,0.128
25,124.600,12.294,3.804,6.454,6.841,7.398,14.081,17.877,43.762,901.561,0.081
30,94.000,13.597,3.457,6.366,6.973,11.025,28.188,35.076,84.099,562.683,0.074
35,153.000,10.338,3.860,6.445,6.796,7.209,8.139,13.763,65.062,417.956,0.097
40,180.200,8.072,4.316,6.348,6.691,7.076,7.537,11.802,20.121,388.664,0.124
45,213.400,6.871,4.634,6.367,6.679,7.022,7.327,7.752,13.239,19.421,0.146
50,90.800,15.891,3.347,6.305,7.070,12.169,26.229,33.306,125.920,852.242,0.063
55,179.600,8.258,3.634,6.446,6.765,7.186,8.775,13.086,35.085,167.102,0.121
