Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,132.400,1.933,0.873,1.275,1.509,2.213,3.335,3.978,4.831,29.260,0.517
5,63.000,3.701,1.666,3.290,3.668,4.139,4.604,4.801,5.248,5.348,0.270
10,64.800,3.587,1.728,3.191,3.604,4.053,4.413,4.657,5.480,6.374,0.279
15,70.000,3.541,1.010,3.223,3.733,4.115,4.630,4.789,5.237,5.898,0.282
20,76.600,3.239,0.984,2.623,3.492,4.025,4.542,4.830,5.387,7.735,0.309
25,56.600,3.948,2.212,3.519,3.933,4.307,4.779,4.920,5.608,9.523,0.253
30,66.000,3.481,1.108,2.767,3.661,4.187,4.608,4.846,5.304,5.696,0.287
35,65.600,3.968,2.796,3.551,3.940,4.334,4.705,4.982,5.176,5.836,0.252
40,59.600,3.836,2.478,3.453,3.802,4.231,4.602,4.784,5.135,5.496,0.261
45,58.400,3.894,2.147,3.487,3.835,4.372,4.803,4.955,5.328,5.583,0.257
50,63.200,3.726,1.907,3.300,3.735,4.158,4.473,4.708,5.184,7.809,0.268
55,66.600,3.694,1.362,3.296,3.713,4.154,4.615,4.895,5.155,6.601,0.271
