Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,3600,3600.000,391,912,1977,2771,3393,4619,6607,12765,111683
1,4996,4996.000,276,755,1373,1998,2864,3931,5016,7810,13572
2,1809,1809.000,639,2037,3603,5533,7869,11974,14188,25944,30926
3,2245,2245.000,294,1661,2857,4418,6495,9786,12326,17024,27859
4,5037,5037.000,257,723,1510,1984,2905,3787,4770,7311,14096
5,1733,1733.000,498,2248,3534,5762,8348,12079,14045,23743,50763
6,1580,1580.000,908,2469,4287,6304,9456,11979,13809,23966,28994
7,1534,1534.000,768,2536,3946,6489,9745,12575,14526,25251,28442
8,1384,1384.000,971,2725,4140,7230,10802,13863,16672,26426,28550
9,1394,1394.000,959,2706,4295,7124,10492,13956,16661,27368,30684
10,1473,1473.000,833,2570,3954,6793,9901,13522,16138,26665,30498
11,1588,1588.000,887,2454,3657,6265,9327,12220,14302,24059,26146
12,1457,1457.000,1063,2661,3883,6828,10183,13393,15085,26281,28789
13,1959,1959.000,408,2026,3294,5111,7440,10570,12296,21803,26253
14,1495,1495.000,866,2559,3963,6667,9985,13115,15016,25833,28285
15,1947,1947.000,270,1953,3210,5126,7402,11388,13935,25223,47783
16,1488,1488.000,841,2621,3890,6709,10004,12895,15264,25188,28195
17,1451,1451.000,904,2755,3795,6865,10323,13293,14804,26684,55800
18,1420,1420.000,840,2708,4637,7002,10301,13493,15674,27491,29686
19,1822,1822.000,450,2176,3472,5460,7676,11635,13462,24150,27006
20,1536,1536.000,801,2455,3823,6498,9537,12868,16219,25650,29178
21,1617,1617.000,967,2476,3550,6172,9208,11863,13565,24105,45269
22,3199,3199.000,255,852,2136,3110,3518,7431,9860,18300,24396
23,1484,1484.000,870,2635,3927,6717,9877,13126,15002,24959,28245
24,1399,1399.000,1020,2792,5725,7166,10283,13714,16251,27233,31230
25,1360,1360.000,793,2808,5054,7327,10706,13814,16112,27603,55891
26,1471,1471.000,771,2668,4200,6762,10024,13238,15128,26420,30955
27,1486,1486.000,539,2576,4323,6696,9845,12738,15034,25854,28677
28,1529,1529.000,690,2597,4130,6522,9526,12495,14387,24601,43150
29,1368,1368.000,1027,2737,6286,7307,10855,13630,15627,26167,29924
30,2114,2114.000,341,1550,2959,4718,6435,10930,13118,24578,49375
31,1487,1487.000,885,2588,4904,6698,9799,13109,15461,24803,30229
32,1353,1353.000,882,2777,5919,7361,10818,13514,16244,26587,46734
33,1564,1564.000,593,2471,3736,6384,9346,13469,15510,27046,30662
34,1354,1354.000,984,2844,4444,7374,11031,14159,16127,27872,31146
35,1363,1363.000,1013,2741,5176,7310,10889,13547,15876,27238,60668
36,1459,1459.000,817,2659,4503,6815,10039,12883,14773,25713,43000
37,1391,1391.000,908,2729,5042,7218,10594,13880,16061,26509,28508
38,1451,1451.000,774,2626,4701,6849,10261,12693,14569,24728,54808
39,1497,1497.000,824,2670,3821,6668,9895,12926,15270,26142,28590
40,1473,1473.000,780,2622,3975,6784,9885,13048,15776,26076,45694
41,1445,1445.000,748,2601,4602,6901,10094,13173,16978,26295,43149
42,1490,1490.000,767,2499,4668,6676,9935,12878,14797,25423,29475
43,1500,1500.000,784,2489,5185,6653,9780,12650,15030,25443,27258
44,1517,1517.000,828,2540,4364,6609,9884,12714,14391,24330,29965
45,1405,1405.000,925,2732,4428,7109,10444,13478,15473,26511,29309
46,1515,1515.000,638,2576,4387,6569,9543,12810,14759,25725,70587
47,1432,1432.000,886,2711,4483,6984,10208,13570,16222,28091,79947
48,1451,1451.000,903,2674,3549,6878,10270,13543,15696,26771,46800
49,1618,1618.000,687,2405,3563,6152,9096,12437,14481,25382,48833
50,1413,1413.000,957,2645,5467,7089,10367,13212,15315,25964,55244
51,1558,1558.000,813,2482,3845,6396,9522,12334,14508,25096,48458
52,1565,1565.000,864,2504,3664,6370,9338,12530,14220,24878,42500
53,1646,1646.000,545,2317,3739,6061,8779,12198,14585,24630,31930
54,1493,1493.000,918,2617,3865,6684,9918,13041,14485,25662,45361
55,1496,1496.000,861,2529,4880,6655,9710,12480,14515,24952,26807
56,1433,1433.000,774,2682,3930,6981,10083,13685,15688,26436,54237
57,1823,1823.000,399,2143,3332,5466,7906,11085,13615,23643,32404
58,1691,1691.000,484,2336,3560,5894,8714,12324,14289,25081,29385
59,1419,1419.000,641,2722,3912,6964,10304,13767,15670,27801,53597
