Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
2,Payment,1737416529.739316,44476,1,1
4,Delivery,1737416529.739319,3170711,8,1
1,NewOrder,1737416529.739323,3143297,5,1
2,Payment,1737416529.739325,3136125,7,1
1,NewOrder,1737416529.739341,3145496,6,1
1,NewOrder,1737416529.739353,3142342,2,1
1,NewOrder,1737416529.739389,3145758,3,1
1,NewOrder,1737416529.739398,3143841,0,1
3,OrderStatus,1737416529.739428,39541,9,1
2,Payment,1737416529.739434,3143423,4,1
5,StockLevel,1737416529.779372,19752,9,1
1,NewOrder,1737416529.783906,3100472,1,1
2,Payment,1737416529.799187,14775,9,1
2,Payment,1737416529.814021,8546,9,1
1,NewOrder,1737416529.822623,31444,9,1
1,NewOrder,1737416529.854116,22460,9,1
1,NewOrder,1737416529.876632,18378,9,1
2,Payment,1737416529.895062,8795,9,1
1,NewOrder,1737416529.903905,14103,9,1
2,Payment,1737416529.918138,7217,9,1
2,Payment,1737416529.925423,7028,9,1
2,Payment,1737416529.932500,6047,9,1
1,NewOrder,1737416529.938601,13611,9,1
2,Payment,1737416529.952271,6592,9,1
3,OrderStatus,1737416529.958916,6651,9,1
2,Payment,1737416529.965615,44335,9,1
1,NewOrder,1737416530.010011,19382,9,1
2,Payment,1737416530.029480,6951,9,1
3,OrderStatus,1737416530.036492,5023,9,1
1,NewOrder,1737416530.041564,11786,9,1
2,Payment,1737416530.053401,4695,9,1
1,NewOrder,1737416530.058146,9706,9,1
2,Payment,1737416530.067905,5158,9,1
2,Payment,1737416530.073111,4754,9,1
1,NewOrder,1737416530.077918,14958,9,1
5,StockLevel,1737416530.092938,8107,9,1
2,Payment,1737416530.101104,4979,9,1
2,Payment,1737416530.106136,3797,9,1
2,Payment,1737416530.109985,4246,9,1
2,Payment,1737416530.114283,4815,9,1
2,Payment,1737416530.119150,4488,9,1
1,NewOrder,1737416530.123690,11643,9,1
1,NewOrder,1737416530.135387,18991,9,1
1,NewOrder,1737416530.154501,17199,9,1
2,Payment,1737416530.171757,5601,9,1
2,Payment,1737416530.177427,4055,9,1
1,NewOrder,1737416530.181527,11303,9,1
1,NewOrder,1737416530.192875,11776,9,1
4,Delivery,1737416530.204696,39227,9,1
2,Payment,1737416530.243977,4326,9,1
1,NewOrder,1737416530.248354,10009,9,1
1,NewOrder,1737416530.258431,13390,9,1
1,NewOrder,1737416530.271922,13339,9,1
1,NewOrder,1737416530.285327,11678,9,1
1,NewOrder,1737416530.297058,10608,9,1
2,Payment,1737416530.307741,7104,9,1
2,Payment,1737416530.314908,4053,9,1
2,Payment,1737416530.319107,3786,9,1
3,OrderStatus,1737416530.322949,3557,9,1
1,NewOrder,1737416530.326557,13171,9,1
1,NewOrder,1737416530.339781,9562,9,1
1,NewOrder,1737416530.349388,12351,9,1
2,Payment,1737416530.361781,3668,9,1
1,NewOrder,1737416530.365488,23108,9,1
1,NewOrder,1737416530.388695,10519,9,1
3,OrderStatus,1737416530.399276,5234,9,1
2,Payment,1737416530.404569,4077,9,1
1,NewOrder,1737416530.408704,11318,9,1
1,NewOrder,1737416530.420080,11967,9,1
2,Payment,1737416530.432100,3328,9,1
3,OrderStatus,1737416530.435483,3468,9,1
1,NewOrder,1737416530.438998,5658,9,1
2,Payment,1737416530.444713,2926,9,1
1,NewOrder,1737416530.447681,7433,9,1
1,NewOrder,1737416530.455150,6974,9,1
2,Payment,1737416530.462161,1971,9,1
2,Payment,1737416530.464159,2165,9,1
2,Payment,1737416530.466348,1362,9,1
1,NewOrder,1737416530.467732,4765,9,1
2,Payment,1737416530.472526,1066,9,1
1,NewOrder,1737416530.473611,3228,9,1
3,OrderStatus,1737416530.476862,1510,9,1
2,Payment,1737416530.478387,901,9,1
1,NewOrder,1737416530.479302,2661,9,1
2,Payment,1737416530.481979,832,9,1
2,Payment,1737416530.482824,988,9,1
2,Payment,1737416530.483825,977,9,1
2,Payment,1737416530.484814,730,9,1
4,Delivery,1737416530.485557,4806,9,1
1,NewOrder,1737416530.490379,1689,9,1
1,NewOrder,1737416530.492082,1772,9,1
2,Payment,1737416530.493867,673,9,1
2,Payment,1737416530.494553,668,9,1
2,Payment,1737416530.495232,699,9,1
1,NewOrder,1737416530.495943,1513,9,1
1,NewOrder,1737416530.497471,2027,9,1
1,NewOrder,1737416530.499512,2253,9,1
1,NewOrder,1737416530.501779,1934,9,1
2,Payment,1737416530.503725,662,9,1
1,NewOrder,1737416530.504400,2355,9,1
3,OrderStatus,1737416530.506767,936,9,1
2,Payment,1737416530.507715,732,9,1
1,NewOrder,1737416530.508459,1798,9,1
4,Delivery,1737416530.510270,4819,9,1
2,Payment,1737416530.515102,1211,9,1
2,Payment,1737416530.516332,1514,9,1
2,Payment,1737416530.517869,1400,9,1
1,NewOrder,1737416530.519297,6197,9,1
2,Payment,1737416530.525528,2078,9,1
2,Payment,1737416530.527642,1647,9,1
2,Payment,1737416530.529321,2013,9,1
3,OrderStatus,1737416530.531365,2524,9,1
2,Payment,1737416530.533917,1766,9,1
5,StockLevel,1737416530.535713,2283,9,1
1,NewOrder,1737416530.538027,5327,9,1
5,StockLevel,1737416530.543384,1911,9,1
5,StockLevel,1737416530.545323,3434,9,1
1,NewOrder,1737416530.548786,3812,9,1
1,NewOrder,1737416530.552628,4645,9,1
1,NewOrder,1737416530.557300,4364,9,1
2,Payment,1737416530.561691,1651,9,1
1,NewOrder,1737416530.563367,2825,9,1
2,Payment,1737416530.566216,1382,9,1
1,NewOrder,1737416530.567622,4200,9,1
1,NewOrder,1737416530.571847,3200,9,1
2,Payment,1737416530.575069,1067,9,1
5,StockLevel,1737416530.576156,2526,9,1
3,OrderStatus,1737416530.578786,1434,9,1
1,NewOrder,1737416530.580246,4788,9,1
2,Payment,1737416530.585058,1730,9,1
2,Payment,1737416530.586814,1213,9,1
2,Payment,1737416530.588052,1378,9,1
2,Payment,1737416530.589500,2543,9,1
2,Payment,1737416530.592077,2016,9,1
2,Payment,1737416530.594120,2050,9,1
2,Payment,1737416530.596200,1437,9,1
1,NewOrder,1737416530.597663,4344,9,1
1,NewOrder,1737416530.602075,5042,9,1
2,Payment,1737416530.607162,1932,9,1
1,NewOrder,1737416530.609130,6344,9,1
4,Delivery,1737416530.615529,19143,9,1
1,NewOrder,1737416530.634727,7697,9,1
4,Delivery,1737416530.642482,21944,9,1
2,Payment,1737416530.664485,3208,9,1
3,OrderStatus,1737416530.667748,2639,9,1
1,NewOrder,1737416530.670461,12762,9,1
2,Payment,1737416530.683276,2281,9,1
1,NewOrder,1737416530.685603,8006,9,1
2,Payment,1737416530.693657,3776,9,1
1,NewOrder,1737416530.697484,7648,9,1
4,Delivery,1737416530.705190,20273,9,1
1,NewOrder,1737416530.725520,7861,9,1
2,Payment,1737416530.733451,2666,9,1
1,NewOrder,1737416530.736170,8895,9,1
2,Payment,1737416530.745120,3145,9,1
3,OrderStatus,1737416530.748318,1939,9,1
2,Payment,1737416530.750310,4316,9,1
1,NewOrder,1737416530.754682,9040,9,1
2,Payment,1737416530.763778,2834,9,1
1,NewOrder,1737416530.766667,5998,9,1
2,Payment,1737416530.772721,2926,9,1
3,OrderStatus,1737416530.775701,1885,9,1
2,Payment,1737416530.777638,2754,9,1
1,NewOrder,1737416530.780466,6684,9,1
2,Payment,1737416530.787216,3697,9,1
2,Payment,1737416530.790967,2963,9,1
2,Payment,1737416530.793981,4370,9,1
2,Payment,1737416530.798430,3170,9,1
1,NewOrder,1737416530.801668,10211,9,1
3,OrderStatus,1737416530.811948,4425,9,1
2,Payment,1737416530.816464,7474,9,1
2,Payment,1737416530.824013,7441,9,1
2,Payment,1737416530.831533,4917,9,1
2,Payment,1737416530.836515,5151,9,1
1,NewOrder,1737416530.841734,13311,9,1
1,NewOrder,1737416530.855118,14991,9,1
2,Payment,1737416530.870165,2538,9,1
1,NewOrder,1737416530.872763,6630,9,1
2,Payment,1737416530.879463,2840,9,1
1,NewOrder,1737416530.882351,4780,9,1
5,StockLevel,1737416530.887171,3143,9,1
4,Delivery,1737416530.890344,17092,9,1
1,NewOrder,1737416530.907483,9829,9,1
1,NewOrder,1737416530.917375,6646,9,1
2,Payment,1737416530.924127,3562,9,1
2,Payment,1737416530.927739,2456,9,1
2,Payment,1737416530.930247,2506,9,1
4,Delivery,1737416530.932797,18397,9,1
1,NewOrder,1737416530.951251,9467,9,1
1,NewOrder,1737416530.960763,9356,9,1
1,NewOrder,1737416530.970160,9865,9,1
1,NewOrder,1737416530.980065,7157,9,1
1,NewOrder,1737416530.987270,8312,9,1
2,Payment,1737416530.995622,2631,9,1
1,NewOrder,1737416530.998305,8793,9,1
1,NewOrder,1737416531.007140,8043,9,1
2,Payment,1737416531.015221,2170,9,1
2,Payment,1737416531.017447,2043,9,1
2,Payment,1737416531.019530,2917,9,1
2,Payment,1737416531.022492,4133,9,1
2,Payment,1737416531.026670,3386,9,1
1,NewOrder,1737416531.030112,14570,9,1
2,Payment,1737416531.044739,2385,9,1
2,Payment,1737416531.047169,2488,9,1
1,NewOrder,1737416531.049702,9946,9,1
2,Payment,1737416531.059694,3436,9,1
1,NewOrder,1737416531.063194,9324,9,1
2,Payment,1737416531.072575,2769,9,1
1,NewOrder,1737416531.075397,10579,9,1
1,NewOrder,1737416531.086026,5740,9,1
2,Payment,1737416531.091806,1915,9,1
2,Payment,1737416531.093758,1731,9,1
2,Payment,1737416531.095522,1632,9,1
2,Payment,1737416531.097184,1549,9,1
1,NewOrder,1737416531.098762,3232,9,1
1,NewOrder,1737416531.102015,3789,9,1
1,NewOrder,1737416531.105819,3341,9,1
2,Payment,1737416531.109172,832,9,1
2,Payment,1737416531.110018,650,9,1
2,Payment,1737416531.110678,635,9,1
5,StockLevel,1737416531.111323,1663,9,1
1,NewOrder,1737416531.112995,1612,9,1
3,OrderStatus,1737416531.114617,452,9,1
1,NewOrder,1737416531.115079,2270,9,1
1,NewOrder,1737416531.117364,2083,9,1
1,NewOrder,1737416531.119464,3191,9,1
3,OrderStatus,1737416531.122672,821,9,1
2,Payment,1737416531.123507,862,9,1
5,StockLevel,1737416531.124384,824,9,1
2,Payment,1737416531.125219,856,9,1
1,NewOrder,1737416531.126092,2715,9,1
2,Payment,1737416531.128819,594,9,1
2,Payment,1737416531.129422,520,9,1
2,Payment,1737416531.129951,425,9,1
2,Payment,1737416531.130384,657,9,1
2,Payment,1737416531.131053,469,9,1
2,Payment,1737416531.131530,439,9,1
2,Payment,1737416531.131995,525,9,1
2,Payment,1737416531.132540,404,9,1
2,Payment,1737416531.132953,545,9,1
2,Payment,1737416531.133507,593,9,1
1,NewOrder,1737416531.134108,1311,9,1
1,NewOrder,1737416531.135428,1880,9,1
2,Payment,1737416531.137316,568,9,1
2,Payment,1737416531.137893,481,9,1
1,NewOrder,1737416531.138382,2426,9,1
2,Payment,1737416531.140817,565,9,1
2,Payment,1737416531.141389,522,9,1
1,NewOrder,1737416531.141919,1499,9,1
2,Payment,1737416531.143427,417,9,1
2,Payment,1737416531.143851,533,9,1
2,Payment,1737416531.144396,444,9,1
1,NewOrder,1737416531.144848,1458,9,1
1,NewOrder,1737416531.146313,1763,9,1
1,NewOrder,1737416531.148084,1015,9,1
2,Payment,1737416531.149136,695,9,1
2,Payment,1737416531.149861,513,9,1
2,Payment,1737416531.150397,738,9,1
3,OrderStatus,1737416531.151148,703,9,1
2,Payment,1737416531.151862,807,9,1
1,NewOrder,1737416531.152680,2491,9,1
1,NewOrder,1737416531.155184,3258,9,1
2,Payment,1737416531.158453,782,9,1
2,Payment,1737416531.159257,759,9,1
1,NewOrder,1737416531.160028,2687,9,1
1,NewOrder,1737416531.162807,3760,9,1
1,NewOrder,1737416531.166608,1913,9,1
2,Payment,1737416531.168530,1082,9,1
1,NewOrder,1737416531.169621,3197,9,1
1,NewOrder,1737416531.172837,4198,9,1
1,NewOrder,1737416531.177052,7647,9,1
2,Payment,1737416531.184718,1875,9,1
2,Payment,1737416531.186611,1544,9,1
1,NewOrder,1737416531.188171,5569,9,1
1,NewOrder,1737416531.193759,5374,9,1
2,Payment,1737416531.199150,1714,9,1
2,Payment,1737416531.200879,1731,9,1
1,NewOrder,1737416531.202626,5686,9,1
1,NewOrder,1737416531.208327,4644,9,1
1,NewOrder,1737416531.212987,3395,9,1
1,NewOrder,1737416531.216396,5816,9,1
2,Payment,1737416531.222225,1360,9,1
1,NewOrder,1737416531.223598,5753,9,1
1,NewOrder,1737416531.229363,4785,9,1
1,NewOrder,1737416531.234160,4613,9,1
1,NewOrder,1737416531.238782,3296,9,1
1,NewOrder,1737416531.242088,3659,9,1
2,Payment,1737416531.245754,928,9,1
1,NewOrder,1737416531.246689,2720,9,1
2,Payment,1737416531.249414,763,9,1
1,NewOrder,1737416531.250184,2234,9,1
2,Payment,1737416531.252424,708,9,1
5,StockLevel,1737416531.253138,1529,9,1
2,Payment,1737416531.254672,778,9,1
2,Payment,1737416531.255455,646,9,1
1,NewOrder,1737416531.256105,2386,9,1
2,Payment,1737416531.258497,680,9,1
2,Payment,1737416531.259183,668,9,1
2,Payment,1737416531.259857,612,9,1
1,NewOrder,1737416531.260474,1799,9,1
2,Payment,1737416531.262279,566,9,1
1,NewOrder,1737416531.262853,1524,9,1
1,NewOrder,1737416531.264383,3331,9,1
1,NewOrder,1737416531.267723,4427,9,1
2,Payment,1737416531.272159,1264,9,1
1,NewOrder,1737416531.273441,5125,9,1
4,Delivery,1737416531.278578,7525,9,1
1,NewOrder,1737416531.286113,1964,9,1
1,NewOrder,1737416531.288085,2157,9,1
2,Payment,1737416531.290249,766,9,1
2,Payment,1737416531.291022,726,9,1
2,Payment,1737416531.291753,616,9,1
2,Payment,1737416531.292373,800,9,1
2,Payment,1737416531.293178,1126,9,1
2,Payment,1737416531.294317,1217,9,1
1,NewOrder,1737416531.295544,3266,9,1
