Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,9.600,142.366,3.488,5.245,14.979,18.156,21.944,39.227,3170.711,3170.711,0.007
5,9.000,221.284,3.323,14.612,15.388,16.510,27.527,3095.595,3120.788,3120.788,0.005
10,8.000,324.819,14.260,15.054,15.562,17.172,3090.930,3094.257,3099.299,3099.299,0.003
15,13.800,141.732,3.209,3.379,3.775,14.676,18.382,28.023,3076.454,3076.454,0.007
20,8.200,163.959,3.347,14.400,15.068,15.719,16.842,26.462,3085.019,3085.019,0.006
25,8.400,234.931,3.154,14.915,15.808,16.748,30.573,3074.573,3089.005,3089.005,0.004
30,7.600,258.449,9.267,14.422,15.063,16.337,28.242,3086.758,3091.815,3091.815,0.004
35,8.400,236.623,14.222,14.876,15.478,17.078,27.584,3088.681,3103.977,3103.977,0.004
40,8.600,301.433,13.582,14.532,15.229,17.394,26.598,3083.951,3092.127,3092.127,0.003
45,7.600,175.926,3.330,14.088,14.943,15.765,25.359,3059.205,3096.808,3096.808,0.006
50,8.400,309.147,13.901,14.795,15.255,16.318,33.813,3084.998,3099.373,3099.373,0.003
55,8.000,92.269,7.453,14.378,14.749,15.506,17.000,27.576,3099.425,3099.425,0.011
