Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,112.600,72.005,1.015,2.451,5.569,7.906,9.912,13.390,3111.479,3145.758,0.014
5,94.000,70.425,0.981,5.216,6.810,8.604,9.719,10.342,3086.174,3109.177,0.014
10,91.200,59.022,2.802,5.486,6.936,8.425,9.530,11.076,3085.292,3113.738,0.017
15,150.200,53.498,0.699,1.545,3.743,7.007,9.002,10.188,3076.163,3106.680,0.019
20,110.400,69.713,1.069,4.832,6.415,8.199,9.335,10.734,3087.102,3112.108,0.014
25,97.800,65.518,0.942,5.219,6.911,8.525,9.828,11.200,3081.276,3108.449,0.015
30,97.600,57.157,0.821,5.281,6.643,8.346,9.451,11.056,3073.327,3111.124,0.017
35,88.800,97.341,2.165,5.552,7.110,8.555,9.979,14.159,3086.416,3095.819,0.010
40,95.000,59.077,3.914,5.516,6.994,8.527,9.465,10.939,3087.745,3112.464,0.017
45,94.400,96.172,0.963,5.559,7.140,8.462,10.125,14.601,3090.701,3102.264,0.010
50,88.800,71.816,3.898,5.657,7.084,8.603,9.981,11.417,3079.006,3109.021,0.014
55,100.800,43.426,0.863,5.174,6.678,8.265,9.281,10.176,3065.627,3103.546,0.023
