Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,11.400,2.269,0.350,0.799,1.337,1.911,3.557,5.234,39.541,39.541,0.441
5,9.200,2.315,0.293,1.218,1.718,2.276,3.080,3.598,26.780,26.780,0.432
10,7.400,2.075,0.914,1.265,2.098,2.409,2.881,4.455,5.379,5.379,0.482
15,14.400,1.487,0.213,0.317,0.776,1.575,2.254,2.536,17.530,17.530,0.672
20,9.200,1.512,0.515,1.082,1.418,1.997,2.457,2.481,2.774,2.774,0.661
25,9.800,1.730,0.267,1.198,1.692,2.126,2.434,3.143,5.694,5.694,0.578
30,8.200,1.667,0.507,1.302,1.688,2.101,2.337,2.415,2.750,2.750,0.600
35,6.200,2.117,1.340,1.717,2.017,2.234,2.475,3.728,4.769,4.769,0.472
40,8.600,1.661,0.956,1.202,1.713,2.010,2.285,2.493,2.710,2.710,0.602
45,8.600,2.056,0.918,1.062,1.685,2.139,2.759,2.918,15.273,15.273,0.486
50,6.200,2.668,1.400,1.793,2.032,2.499,2.993,4.170,17.453,17.453,0.375
55,7.400,1.474,0.361,1.166,1.508,1.822,2.217,2.615,2.634,2.634,0.678
