Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,109.400,24.805,0.364,0.702,1.793,2.242,3.199,4.695,44.335,3143.423,0.040
5,95.200,19.637,0.370,1.699,1.927,2.215,3.008,3.906,35.080,3085.720,0.051
10,85.200,19.155,1.487,1.791,1.947,2.263,3.068,3.835,25.174,3068.842,0.052
15,146.400,5.567,0.346,0.408,0.759,1.870,2.370,3.189,5.432,3072.801,0.180
20,81.000,12.218,0.398,1.630,1.811,2.028,2.644,3.260,20.246,3074.790,0.082
25,92.400,19.804,0.343,1.679,1.928,2.275,3.087,3.917,20.148,3068.520,0.050
30,93.000,2.242,0.405,1.679,1.849,2.195,2.910,3.740,17.780,20.407,0.446
35,93.000,6.846,1.468,1.738,1.898,2.323,3.445,4.356,18.512,1047.259,0.146
40,84.000,11.846,1.454,1.712,1.855,2.067,2.581,3.093,8.526,3064.215,0.084
45,96.600,4.454,0.386,1.698,1.837,2.236,3.283,4.225,20.232,1035.929,0.225
50,89.800,11.439,1.463,1.704,1.854,2.238,3.061,3.844,19.735,3062.112,0.087
55,89.000,4.464,0.347,1.689,1.844,2.106,2.735,3.550,19.395,1043.547,0.224
