Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,251.000,48.771,0.350,1.529,2.349,5.984,9.033,14.461,3097.542,3170.711,0.021
5,215.000,49.025,0.293,1.889,3.164,7.271,9.562,14.967,3080.180,3120.788,0.020
10,199.800,48.367,0.914,1.975,4.512,7.204,9.301,14.885,3080.917,3113.738,0.021
15,338.400,32.087,0.213,0.810,1.777,4.299,8.101,9.411,28.023,3106.680,0.031
20,216.800,46.454,0.398,1.835,3.977,7.149,9.031,14.118,3075.656,3112.108,0.022
25,219.600,46.742,0.267,1.858,3.088,7.130,9.480,14.260,3073.061,3108.449,0.021
30,215.200,36.237,0.405,1.841,3.595,6.937,9.175,14.259,3059.657,3111.124,0.028
35,204.400,55.375,1.340,1.929,4.239,7.344,9.700,15.430,3076.300,3103.977,0.018
40,204.800,45.147,0.956,1.880,4.312,7.341,9.278,14.418,3080.081,3112.464,0.022
45,217.200,50.213,0.386,1.830,3.727,7.268,9.377,14.601,3075.188,3102.264,0.020
50,201.800,49.794,1.400,1.892,4.011,7.294,9.744,14.877,3070.545,3109.021,0.020
55,215.200,25.827,0.347,1.832,3.719,6.977,9.008,14.250,27.576,3103.546,0.039
