Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,175.400,7.420,5.359,6.541,6.963,7.537,8.490,9.867,17.701,73.034,0.135
5,210.000,6.718,5.127,6.414,6.692,7.023,7.310,7.504,7.927,8.571,0.149
10,206.400,6.646,5.092,6.333,6.610,6.947,7.259,7.481,7.878,13.052,0.150
15,211.200,6.618,4.996,6.267,6.608,6.948,7.258,7.438,8.030,11.365,0.151
20,203.400,6.684,5.182,6.356,6.671,6.960,7.314,7.499,7.935,12.455,0.150
25,211.200,7.633,5.052,6.306,6.624,6.947,7.327,7.551,8.307,1040.718,0.131
30,138.800,12.729,4.907,6.249,6.632,7.263,12.842,19.231,29.448,3126.434,0.079
35,147.200,14.717,4.533,6.004,6.467,7.098,10.064,18.283,30.353,1092.740,0.068
40,188.200,9.880,4.735,6.112,6.516,6.862,7.358,7.902,10.527,1038.731,0.101
45,138.000,18.901,4.470,6.201,6.591,7.235,10.284,26.112,31.559,3091.748,0.053
50,142.000,18.817,4.768,6.119,6.583,7.557,14.693,25.807,48.343,1094.334,0.053
55,74.000,36.396,4.997,6.557,9.845,20.386,27.687,29.752,1085.433,1094.887,0.027
