Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,175.600,0.616,0.281,0.385,0.464,0.603,0.858,1.132,1.805,33.701,1.622
5,207.400,0.407,0.252,0.352,0.391,0.446,0.512,0.555,0.625,1.234,2.458
10,203.600,0.399,0.256,0.343,0.384,0.434,0.505,0.543,0.657,1.961,2.506
15,213.800,0.397,0.233,0.338,0.382,0.433,0.491,0.537,0.720,2.197,2.522
20,203.400,0.398,0.233,0.343,0.383,0.441,0.490,0.541,0.660,1.066,2.512
25,197.200,0.397,0.240,0.338,0.378,0.427,0.490,0.547,0.808,3.060,2.517
30,149.800,0.492,0.257,0.342,0.393,0.496,0.794,1.117,1.705,2.298,2.033
35,151.000,0.500,0.215,0.341,0.399,0.516,0.785,1.217,1.817,2.889,1.998
40,206.400,0.399,0.226,0.331,0.372,0.436,0.520,0.601,0.824,1.226,2.508
45,136.800,0.541,0.237,0.343,0.397,0.524,1.102,1.467,1.943,2.398,1.850
50,144.000,0.524,0.237,0.338,0.399,0.515,0.866,1.351,2.251,3.419,1.908
55,71.400,0.931,0.203,0.460,0.758,1.270,1.805,2.053,2.662,3.607,1.074
