Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,1866.400,0.899,0.484,0.690,0.780,0.895,1.060,1.229,2.152,93.467,1.113
5,2211.600,0.744,0.446,0.658,0.725,0.809,0.896,0.954,1.094,2.608,1.344
10,2191.200,0.732,0.463,0.646,0.713,0.797,0.886,0.946,1.081,2.603,1.367
15,2255.200,0.820,0.440,0.646,0.712,0.793,0.879,0.934,1.079,1018.298,1.219
20,2204.000,0.734,0.464,0.652,0.717,0.797,0.880,0.935,1.063,3.003,1.363
25,2138.000,0.728,0.432,0.643,0.710,0.795,0.878,0.935,1.065,3.443,1.373
30,1590.200,1.034,0.439,0.644,0.729,0.866,1.452,2.055,3.285,1038.215,0.967
35,1732.400,0.837,0.401,0.621,0.703,0.836,1.082,1.708,3.187,7.109,1.195
40,2071.800,0.724,0.424,0.628,0.695,0.786,0.893,0.972,1.244,3.388,1.381
45,1450.800,1.066,0.406,0.635,0.722,0.863,1.285,2.664,3.551,1033.988,0.938
50,1503.400,0.942,0.416,0.636,0.727,0.887,1.469,2.683,3.606,9.351,1.062
55,790.400,1.529,0.390,0.713,1.074,2.242,3.078,3.412,4.195,11.408,0.654
