Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
4,Delivery,1738814947.552850,133462,5,1
4,Delivery,1738814947.552851,131444,2,1
1,NewOrder,1738814947.552854,95131,9,1
1,NewOrder,1738814947.552861,67005,8,1
1,NewOrder,1738814947.552933,66563,1,1
5,StockLevel,1738814947.552944,35582,7,1
2,Payment,1738814947.552960,38964,6,1
1,NewOrder,1738814947.553048,63775,4,1
5,StockLevel,1738814947.553124,35395,3,1
2,Payment,1738814947.553130,38933,0,1
4,Delivery,1738814947.588914,104885,7,1
2,Payment,1738814947.588924,16289,3,1
1,NewOrder,1738814947.592015,59521,6,1
2,Payment,1738814947.592161,13378,0,1
2,Payment,1738814947.605282,17682,3,1
1,NewOrder,1738814947.605639,71341,0,1
2,Payment,1738814947.616934,30729,4,1
5,StockLevel,1738814947.619610,28805,1,1
1,NewOrder,1738814947.619969,41085,8,1
1,NewOrder,1738814947.623045,54100,3,1
2,Payment,1738814947.648019,13428,4,1
2,Payment,1738814947.648102,18068,9,1
1,NewOrder,1738814947.648479,32457,1,1
2,Payment,1738814947.651625,12380,6,1
1,NewOrder,1738814947.661132,30346,8,1
2,Payment,1738814947.661505,35656,4,1
2,Payment,1738814947.664052,10284,6,1
4,Delivery,1738814947.666239,46039,9,1
2,Payment,1738814947.674398,22458,6,1
2,Payment,1738814947.677028,8009,0,1
1,NewOrder,1738814947.677195,14183,3,1
2,Payment,1738814947.680976,8447,1,1
2,Payment,1738814947.684363,7828,2,1
1,NewOrder,1738814947.685121,15424,0,1
1,NewOrder,1738814947.686374,20340,5,1
1,NewOrder,1738814947.689462,9148,1,1
2,Payment,1738814947.691434,5728,3,1
2,Payment,1738814947.691515,7445,8,1
2,Payment,1738814947.692227,5280,2,1
1,NewOrder,1738814947.693833,19411,7,1
2,Payment,1738814947.696893,4503,6,1
5,StockLevel,1738814947.697185,7300,4,1
2,Payment,1738814947.697193,4128,3,1
1,NewOrder,1738814947.697537,15116,2,1
1,NewOrder,1738814947.698637,7028,1,1
4,Delivery,1738814947.698989,23955,8,1
1,NewOrder,1738814947.700568,8071,0,1
1,NewOrder,1738814947.701348,7128,3,1
2,Payment,1738814947.701422,3066,6,1
2,Payment,1738814947.704522,3859,4,1
3,OrderStatus,1738814947.704529,3124,6,1
2,Payment,1738814947.705700,3487,1,1
1,NewOrder,1738814947.706745,11491,5,1
4,Delivery,1738814947.707679,22950,6,1
2,Payment,1738814947.708404,3537,4,1
2,Payment,1738814947.708500,3867,3,1
1,NewOrder,1738814947.708661,7404,0,1
2,Payment,1738814947.709216,3420,1,1
2,Payment,1738814947.711966,2662,4,1
2,Payment,1738814947.712300,2939,9,1
1,NewOrder,1738814947.712385,6313,3,1
2,Payment,1738814947.712655,2305,1,1
1,NewOrder,1738814947.712668,7595,2,1
1,NewOrder,1738814947.713262,5639,7,1
2,Payment,1738814947.714657,2312,4,1
4,Delivery,1738814947.714973,18063,1,1
1,NewOrder,1738814947.715296,6871,9,1
2,Payment,1738814947.716085,2219,0,1
1,NewOrder,1738814947.717033,7349,4,1
2,Payment,1738814947.718254,2530,5,1
2,Payment,1738814947.718320,2259,0,1
2,Payment,1738814947.718715,1715,3,1
5,StockLevel,1738814947.718917,3360,7,1
3,OrderStatus,1738814947.720287,1395,2,1
1,NewOrder,1738814947.720445,3686,3,1
1,NewOrder,1738814947.720601,4323,0,1
1,NewOrder,1738814947.720805,5338,5,1
2,Payment,1738814947.721701,2307,2,1
3,OrderStatus,1738814947.722183,1949,9,1
3,OrderStatus,1738814947.722300,2384,7,1
1,NewOrder,1738814947.722961,4567,8,1
2,Payment,1738814947.724028,2472,2,1
1,NewOrder,1738814947.724149,4208,3,1
1,NewOrder,1738814947.724149,5470,9,1
1,NewOrder,1738814947.724401,6873,4,1
2,Payment,1738814947.724700,2716,7,1
2,Payment,1738814947.724939,2095,0,1
1,NewOrder,1738814947.726164,8614,5,1
3,OrderStatus,1738814947.726519,2829,2,1
2,Payment,1738814947.727051,2008,0,1
2,Payment,1738814947.727434,2530,7,1
2,Payment,1738814947.727544,2331,8,1
1,NewOrder,1738814947.728381,4929,3,1
1,NewOrder,1738814947.729079,3750,0,1
2,Payment,1738814947.729371,2481,2,1
3,OrderStatus,1738814947.729636,1410,9,1
1,NewOrder,1738814947.729890,5985,8,1
2,Payment,1738814947.729977,2308,7,1
2,Payment,1738814947.730651,2472,6,1
1,NewOrder,1738814947.731062,6494,9,1
2,Payment,1738814947.731287,1991,4,1
1,NewOrder,1738814947.731874,6107,2,1
3,OrderStatus,1738814947.732300,1381,7,1
1,NewOrder,1738814947.732843,3972,0,1
2,Payment,1738814947.733053,2185,1,1
2,Payment,1738814947.733135,1897,6,1
1,NewOrder,1738814947.733291,5167,4,1
2,Payment,1738814947.733326,1511,3,1
2,Payment,1738814947.733694,1968,7,1
2,Payment,1738814947.734798,1833,5,1
2,Payment,1738814947.734851,1817,3,1
1,NewOrder,1738814947.735049,5278,6,1
1,NewOrder,1738814947.735254,4949,1,1
5,StockLevel,1738814947.735679,3355,7,1
2,Payment,1738814947.735908,2480,8,1
2,Payment,1738814947.736647,2478,5,1
1,NewOrder,1738814947.736683,4793,3,1
2,Payment,1738814947.736831,2284,0,1
1,NewOrder,1738814947.737574,5639,9,1
1,NewOrder,1738814947.737998,5595,2,1
4,Delivery,1738814947.738410,10995,8,1
1,NewOrder,1738814947.738473,5590,4,1
1,NewOrder,1738814947.739051,5644,7,1
3,OrderStatus,1738814947.739132,1712,0,1
2,Payment,1738814947.739141,2049,5,1
2,Payment,1738814947.740222,2036,1,1
1,NewOrder,1738814947.740342,4544,6,1
1,NewOrder,1738814947.740934,3968,0,1
2,Payment,1738814947.741207,2069,5,1
2,Payment,1738814947.741493,1653,3,1
2,Payment,1738814947.742276,1496,1,1
1,NewOrder,1738814947.743164,5628,3,1
2,Payment,1738814947.743229,2458,9,1
1,NewOrder,1738814947.743291,6997,5,1
2,Payment,1738814947.743610,2059,2,1
2,Payment,1738814947.743795,1976,1,1
1,NewOrder,1738814947.744078,5064,4,1
2,Payment,1738814947.744729,1904,7,1
3,OrderStatus,1738814947.744907,1631,6,1
2,Payment,1738814947.744918,2045,0,1
1,NewOrder,1738814947.745686,7333,2,1
1,NewOrder,1738814947.745702,4191,9,1
3,OrderStatus,1738814947.745788,1314,1,1
1,NewOrder,1738814947.746556,4817,6,1
2,Payment,1738814947.746644,1736,7,1
1,NewOrder,1738814947.746985,5365,0,1
4,Delivery,1738814947.747116,10835,1,1
2,Payment,1738814947.748401,1561,7,1
2,Payment,1738814947.748809,1797,3,1
1,NewOrder,1738814947.749158,6222,4,1
2,Payment,1738814947.749420,2023,8,1
1,NewOrder,1738814947.749908,4145,9,1
1,NewOrder,1738814947.749978,6250,7,1
1,NewOrder,1738814947.750304,4611,5,1
2,Payment,1738814947.750628,1610,3,1
1,NewOrder,1738814947.751393,7540,6,1
5,StockLevel,1738814947.751465,4238,8,1
4,Delivery,1738814947.752256,18312,3,1
1,NewOrder,1738814947.752365,6165,0,1
1,NewOrder,1738814947.753042,6302,2,1
2,Payment,1738814947.754072,2336,9,1
2,Payment,1738814947.754940,2017,5,1
2,Payment,1738814947.755398,1800,4,1
1,NewOrder,1738814947.755721,7161,8,1
2,Payment,1738814947.756244,2010,7,1
2,Payment,1738814947.756425,1937,9,1
2,Payment,1738814947.756974,1791,5,1
2,Payment,1738814947.757222,1810,4,1
2,Payment,1738814947.757969,2225,1,1
1,NewOrder,1738814947.758271,8474,7,1
5,StockLevel,1738814947.758379,3997,9,1
2,Payment,1738814947.758545,1848,0,1
2,Payment,1738814947.758782,1765,5,1
1,NewOrder,1738814947.758950,5496,6,1
1,NewOrder,1738814947.759046,7241,4,1
1,NewOrder,1738814947.759359,7110,2,1
2,Payment,1738814947.760213,2816,1,1
1,NewOrder,1738814947.760413,5823,0,1
2,Payment,1738814947.760564,2456,5,1
1,NewOrder,1738814947.762402,5861,9,1
1,NewOrder,1738814947.762901,7209,8,1
2,Payment,1738814947.763046,2372,5,1
1,NewOrder,1738814947.763048,5984,1,1
2,Payment,1738814947.764482,2412,6,1
2,Payment,1738814947.765467,1598,5,1
2,Payment,1738814947.766253,1955,0,1
1,NewOrder,1738814947.766310,5148,4,1
1,NewOrder,1738814947.766487,5854,2,1
1,NewOrder,1738814947.766761,3748,7,1
2,Payment,1738814947.766910,2074,6,1
2,Payment,1738814947.767080,1624,5,1
4,Delivery,1738814947.768224,18442,0,1
2,Payment,1738814947.768281,1792,9,1
1,NewOrder,1738814947.768721,5978,5,1
2,Payment,1738814947.769000,1867,6,1
2,Payment,1738814947.769053,1519,1,1
1,NewOrder,1738814947.770104,3103,9,1
1,NewOrder,1738814947.770124,4858,8,1
2,Payment,1738814947.770527,1580,7,1
2,Payment,1738814947.770591,1810,3,1
2,Payment,1738814947.770594,1371,1,1
2,Payment,1738814947.770881,1330,6,1
