Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,1320.200,4.818,1.272,2.767,3.736,5.892,9.097,11.075,14.122,95.131,0.208
5,1382.200,4.672,1.200,2.437,3.280,6.146,9.801,11.687,14.632,33.298,0.214
10,760.000,8.696,1.206,5.777,8.472,11.220,13.351,14.395,16.028,1070.133,0.115
15,664.600,9.526,2.227,7.383,9.384,11.602,13.258,14.153,15.852,33.029,0.105
20,819.400,8.125,1.174,5.555,8.292,10.801,12.884,13.823,15.593,18.642,0.123
25,721.000,9.182,1.191,6.972,9.237,11.674,13.535,14.410,15.781,17.797,0.109
30,702.000,9.533,1.333,7.069,9.161,11.502,13.452,14.476,16.071,1069.141,0.105
35,699.600,9.382,1.121,7.135,9.376,11.986,13.865,14.814,16.340,18.093,0.107
40,671.200,9.936,3.431,7.771,9.769,11.964,13.679,14.649,16.057,21.447,0.101
45,780.200,8.383,1.052,5.934,8.287,10.889,13.021,13.939,15.673,17.455,0.119
50,668.800,9.764,3.454,7.617,9.531,11.772,13.522,14.428,15.930,19.817,0.102
55,709.800,9.073,1.323,6.872,9.069,11.662,13.576,14.677,16.179,24.584,0.110
