Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,115.600,2.345,0.815,1.387,1.817,2.764,3.838,4.407,5.548,35.582,0.426
5,122.000,2.073,0.840,1.286,1.566,2.658,3.745,4.399,5.592,10.184,0.482
10,73.200,3.442,0.959,2.741,3.668,4.247,4.912,5.214,5.770,6.765,0.291
15,59.200,3.905,1.321,3.450,3.954,4.411,4.966,5.237,5.978,6.141,0.256
20,71.800,3.286,0.884,2.430,3.454,4.181,4.745,5.045,5.988,7.114,0.304
25,69.800,3.655,0.775,3.148,3.818,4.356,4.867,5.052,5.527,5.928,0.274
30,60.000,3.915,1.143,3.346,3.951,4.556,5.072,5.323,6.007,11.540,0.255
35,73.600,3.795,0.945,3.305,3.863,4.450,5.022,5.291,5.648,5.869,0.263
40,56.000,4.059,2.176,3.519,4.071,4.521,5.011,5.410,6.168,8.016,0.246
45,69.000,3.427,0.880,2.776,3.556,4.157,4.716,4.999,5.511,5.754,0.292
50,64.200,3.948,2.264,3.464,3.893,4.383,4.902,5.302,5.920,6.664,0.253
55,58.200,3.829,0.814,3.291,3.934,4.566,5.040,5.356,5.868,6.398,0.261
