Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,2950.400,3.380,0.267,1.028,2.308,3.984,7.390,10.269,17.857,133.462,0.296
5,3047.200,3.275,0.216,0.841,2.189,3.549,7.643,10.495,17.199,1036.215,0.305
10,1702.400,5.855,0.275,2.297,3.206,8.642,12.417,14.575,25.297,1070.133,0.171
15,1480.400,6.735,0.420,2.505,3.994,9.639,12.757,14.582,25.304,1049.058,0.148
20,1818.800,5.481,0.248,2.180,3.102,8.375,11.957,13.788,25.011,30.881,0.182
25,1611.400,6.190,0.294,2.442,3.480,9.387,12.831,14.612,26.052,30.687,0.162
30,1549.600,6.439,0.264,2.452,3.700,9.443,12.845,14.940,25.611,1069.141,0.155
35,1545.600,6.452,0.336,2.536,3.614,9.660,13.255,15.421,26.643,32.256,0.155
40,1471.400,6.786,0.596,2.640,4.551,10.037,13.208,15.239,25.866,30.386,0.147
45,1723.000,5.794,0.257,2.222,3.396,8.585,12.385,14.370,25.158,30.932,0.173
50,1495.400,6.679,0.636,2.576,4.316,9.765,13.089,15.366,25.853,31.397,0.150
55,1580.000,6.300,0.252,2.431,3.424,9.261,12.848,14.975,26.348,1063.080,0.159
