Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,3102,3102.000,447,1070,2221,3222,3883,5889,7292,17682,133462
1,4533,4533.000,308,787,1620,2194,3088,4321,6198,7857,16774
2,2112,2112.000,440,1558,3120,4751,6537,10687,13180,23805,29391
3,1755,1755.000,526,2205,3469,5677,8279,11468,13708,23538,29083
4,3250,3250.000,267,886,2194,3054,3585,6930,9596,14601,26526
5,4791,4791.000,216,691,1575,2174,2767,3623,5715,7423,1036215
6,2647,2647.000,230,792,2351,3598,3549,9174,12876,25489,33981
7,3831,3831.000,230,839,1914,2600,3434,5700,7472,11069,24170
8,2278,2278.000,270,1590,2720,4399,6373,10148,12133,21587,26652
9,1689,1689.000,580,2274,3435,5900,8666,11831,14242,22727,27650
10,1291,1291.000,956,2841,4506,8128,10974,14338,16030,27333,1070133
11,2333,2333.000,275,1169,2649,4037,4898,10139,13361,17937,31093
12,1802,1802.000,319,2174,3220,5544,8131,12045,14272,25337,31753
13,1490,1490.000,979,2563,4056,6691,9791,12688,15663,25195,28079
14,1596,1596.000,831,2412,3598,6241,9273,12263,14049,24317,28135
15,1481,1481.000,915,2568,4445,6753,9867,12999,15174,25888,30811
16,1569,1569.000,835,2466,3649,6350,9633,12438,14152,24708,27674
17,1556,1556.000,911,2459,4041,6396,9482,12503,14454,23584,26413
18,1278,1278.000,806,2734,5356,8801,10784,13607,14875,26641,1049058
19,1518,1518.000,420,2240,3522,5722,8315,12286,14417,25225,33285
20,2954,2954.000,248,937,2298,3373,3717,8465,10989,15313,29256
21,1651,1651.000,847,2374,3675,6057,8897,12038,14130,25276,28643
22,1402,1402.000,964,2772,4185,7108,10681,13542,15009,26804,29562
23,1520,1520.000,822,2524,4297,6541,9767,12621,14949,24559,30881
24,1567,1567.000,756,2437,4384,6363,9276,12483,14580,25724,28474
25,1928,1928.000,294,1717,2990,5163,7779,12481,14475,26153,30056
26,1629,1629.000,475,2469,3729,6137,9224,12948,14304,26260,29721
27,1413,1413.000,949,2687,4821,7065,10464,13320,15348,25794,28787
28,1566,1566.000,777,2518,3808,6364,9530,12489,14653,24799,30687
29,1521,1521.000,808,2469,4893,6554,9644,12866,14665,24538,28931
30,1625,1625.000,697,2318,4413,6140,9054,11902,13942,23076,27082
31,1858,1858.000,264,2144,3135,5351,8108,11708,13533,24615,29737
32,1530,1530.000,421,2394,3659,6872,9059,13343,15665,27157,1069141
33,1269,1269.000,914,2831,5547,7439,10958,14288,16109,28169,42111
34,1466,1466.000,920,2600,4920,6828,10250,13060,15334,24894,28823
35,1431,1431.000,940,2700,4754,6987,10440,13229,15478,26846,30630
36,1330,1330.000,958,2893,6136,7478,11048,14412,16281,27421,29439
37,1320,1320.000,933,2851,5068,7548,11022,14637,18730,28118,30043
38,1435,1435.000,822,2700,4023,6983,10474,13547,15085,27072,32256
39,2212,2212.000,336,1700,2780,4490,6564,10103,12145,21934,27684
40,1682,1682.000,596,2365,4334,5956,8641,11675,13559,22429,25066
41,1473,1473.000,890,2593,4377,6754,10069,12804,15001,26345,28729
42,1466,1466.000,680,2640,4209,6819,10300,13312,15034,25734,28672
43,1353,1353.000,1165,2807,5892,7396,10758,14054,16495,26778,29478
44,1383,1383.000,822,2778,4521,7196,10895,13875,15657,27404,30386
45,1401,1401.000,910,2635,4879,7123,10730,13488,16246,25923,30260
46,1336,1336.000,978,2764,5682,7485,11010,14048,21654,26924,29307
47,1799,1799.000,520,2119,3529,5528,7841,11699,13938,24940,30932
48,2544,2544.000,257,1427,2488,3928,5811,8774,10792,17732,25525
49,1535,1535.000,680,2429,4196,6509,9582,12743,15410,24673,28609
50,1557,1557.000,765,2464,3960,6416,9248,12664,15225,25193,29312
51,1547,1547.000,804,2440,4896,6441,9558,12399,14638,24343,27496
52,1342,1342.000,1000,2858,5817,7442,11224,14113,15786,27687,31397
53,1544,1544.000,856,2562,3622,6457,9786,12627,14391,25223,29534
54,1487,1487.000,636,2575,4410,6740,9595,13217,16318,27803,29658
55,1229,1229.000,1095,2876,4487,8222,11032,14287,15989,27609,1063080
56,2290,2290.000,252,1438,2723,4302,5871,10097,12337,21890,29046
57,1450,1450.000,914,2643,4119,6862,10373,13198,15138,25866,28692
58,1347,1347.000,926,2766,5782,7411,10959,14120,16443,27943,30537
59,1584,1584.000,853,2380,3714,6237,9253,12011,13958,24224,27223
