Round	Start	End	Benchmark_Elapsed	Tuning_overhead
1	1742146251.5650768	1742146340.6580782	89.09300136566162	0.0
2	1742146342.5390947	1742146443.4784336	100.93933892250061	1.881016492843628
3	1742146443.6002681	1742146547.268598	103.66832995414734	0.12183451652526855
4	1742146547.3865836	1742146649.5456238	102.15904021263123	0.11798548698425293
5	1742146649.631549	1742146743.0908144	93.45926547050476	0.08592510223388672
6	1742146743.1998177	1742146836.2746172	93.07479953765869	0.10900330543518066
7	1742146836.366872	1742146929.23368	92.86680793762207	0.0922548770904541
8	1742146929.2701507	1742147022.1880412	92.91789054870605	0.036470651626586914
9	1742147022.3023505	1742147120.7617388	98.459388256073	0.11430931091308594
10	1742147122.9899879	1742147217.9729812	94.9829933643341	2.2282490730285645
11	1742147218.002556	1742147311.2541995	93.25164341926575	0.029574871063232422
12	1742147311.3642342	1742147404.4567404	93.09250617027283	0.11003470420837402
13	1742147404.615478	1742147502.1092398	97.49376177787781	0.1587376594543457
14	1742147502.197402	1742147594.0469987	91.84959673881531	0.08816218376159668
15	1742147594.1691008	1742147687.9539776	93.7848768234253	0.12210202217102051
16	1742147688.0768294	1742147785.3191824	97.2423529624939	0.12285184860229492
17	1742147785.3652809	1742147881.906222	96.54094123840332	0.04609847068786621
18	1742147882.0488114	1742147979.1045163	97.05570483207703	0.14258933067321777
19	1742147981.4447038	1742148073.8491843	92.40448045730591	2.3401875495910645
20	1742148073.9673088	1742148167.0985286	93.1312198638916	0.11812448501586914
21	1742148167.223912	1742148265.2170818	97.9931697845459	0.1253833770751953
22	1742148265.3359773	1742148357.4408827	92.10490536689758	0.1188955307006836
23	1742148357.575629	1742148450.6041865	93.0285575389862	0.13474631309509277
24	1742148450.7133362	1742148544.3888125	93.67547631263733	0.10914969444274902
25	1742148544.4983747	1742148637.53982	93.04144525527954	0.10956215858459473
26	1742148637.65287	1742148736.0221007	98.3692307472229	0.11304998397827148
27	1742148738.4715548	1742148830.3900218	91.91846704483032	2.4494540691375732
28	1742148830.4275477	1742148927.7419167	97.31436896324158	0.03752589225769043
29	1742148927.8808908	1742149020.1766875	92.29579663276672	0.13897418975830078
30	1742149020.2112556	1742149112.8106718	92.59941625595093	0.034568071365356445
31	1742149112.8425193	1742149210.5110185	97.6684992313385	0.031847476959228516
32	1742149210.630213	1742149307.725609	97.09539604187012	0.11919450759887695
33	1742149307.8145247	1742149400.3503048	92.53578019142151	0.08891558647155762
34	1742149402.5130322	1742149496.1603937	93.64736151695251	2.1627273559570312
35	1742149496.2833817	1742149589.3874545	93.10407280921936	0.12298798561096191
36	1742149589.5154116	1742149687.2059822	97.69057059288025	0.12795710563659668
37	1742149687.2646508	1742149779.0564983	91.79184746742249	0.05866861343383789
38	1742149779.2127004	1742149876.824266	97.61156558990479	0.15620207786560059
39	1742149876.961907	1742149969.6653655	92.70345854759216	0.13764095306396484
40	1742149969.8037534	1742150063.126848	93.32309460639954	0.13838791847229004
41	1742150063.2231147	1742150160.8679976	97.64488291740417	0.0962667465209961
42	1742150163.3501577	1742150256.1710837	92.82092595100403	2.4821600914001465
43	1742150256.2826877	1742150349.5938478	93.31116008758545	0.11160397529602051
44	1742150349.7239823	1742150443.0383096	93.31432723999023	0.13013458251953125
45	1742150443.1868498	1742150540.749293	97.56244325637817	0.14854025840759277
46	1742150540.880382	1742150633.2577982	92.37741613388062	0.1310889720916748
47	1742150633.3715765	1742150726.7614942	93.3899176120758	0.11377835273742676
48	1742150726.7968547	1742150819.3080995	92.51124477386475	0.03536057472229004
49	1742150819.464969	1742150917.5323238	98.06735491752625	0.15686941146850586
50	1742150920.0271711	1742151012.1715264	92.14435529708862	2.494847297668457
51	1742151012.3031752	1742151106.0247529	93.72157764434814	0.13164877891540527
52	1742151106.160524	1742151199.102775	92.94225120544434	0.1357710361480713
53	1742151199.226206	1742151295.3662517	96.14004564285278	0.12343096733093262
54	1742151295.442316	1742151389.1307275	93.6884114742279	0.0760643482208252
55	1742151389.27884	1742151487.0981026	97.81926250457764	0.14811253547668457
56	1742151487.2141185	1742151579.3664339	92.15231537818909	0.11601591110229492
57	1742151579.4851534	1742151677.4266922	97.94153881072998	0.11871957778930664
58	1742151679.5745254	1742151771.486783	91.9122576713562	2.1478331089019775
59	1742151771.6395457	1742151864.2911968	92.65165114402771	0.15276265144348145
60	1742151864.4254029	1742151957.6851535	93.25975060462952	0.13420605659484863
61	1742151957.8052454	1742152050.932107	93.12686157226562	0.12009191513061523
