Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,144.800,7.171,4.656,6.021,6.487,7.116,7.787,8.795,16.076,114.215,0.139
5,151.600,6.195,3.962,5.762,6.173,6.612,6.965,7.232,8.560,10.333,0.161
10,147.800,6.319,4.259,5.761,6.200,6.738,7.251,7.734,9.634,18.288,0.158
15,141.600,6.248,4.257,5.760,6.201,6.661,7.132,7.543,8.432,9.389,0.160
20,162.400,6.125,4.221,5.710,6.120,6.542,6.878,7.153,7.563,9.626,0.163
25,157.000,6.236,4.134,5.725,6.148,6.560,7.053,7.395,9.862,16.825,0.160
30,152.800,6.210,4.221,5.820,6.195,6.580,6.968,7.298,8.184,9.431,0.161
35,146.400,6.209,4.368,5.780,6.190,6.597,6.940,7.231,8.020,12.760,0.161
40,152.000,6.212,4.212,5.747,6.159,6.624,7.022,7.261,8.037,13.831,0.161
45,145.200,6.301,4.361,5.804,6.204,6.634,7.031,7.316,9.335,24.587,0.159
50,149.600,6.374,4.252,5.959,6.365,6.764,7.121,7.341,7.751,13.511,0.157
55,156.800,6.644,4.436,5.989,6.387,6.879,7.365,8.001,14.097,22.356,0.151
