Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,138.000,0.590,0.220,0.414,0.503,0.640,0.901,1.156,1.900,9.713,1.694
5,155.400,0.550,0.216,0.397,0.501,0.601,0.712,0.820,1.852,8.592,1.820
10,141.800,0.652,0.219,0.399,0.507,0.603,0.717,0.887,6.018,13.256,1.534
15,145.000,0.503,0.201,0.360,0.477,0.590,0.704,0.788,1.074,6.165,1.990
20,154.200,0.483,0.209,0.342,0.456,0.571,0.693,0.781,1.091,3.161,2.071
25,149.000,0.745,0.198,0.341,0.472,0.594,0.738,1.064,9.312,16.431,1.342
30,147.400,0.475,0.214,0.332,0.441,0.567,0.661,0.731,0.964,10.355,2.104
35,161.000,0.456,0.216,0.324,0.429,0.568,0.654,0.735,0.897,1.585,2.191
40,138.400,0.507,0.190,0.319,0.422,0.569,0.703,0.771,3.166,9.402,1.972
45,144.800,0.685,0.194,0.319,0.409,0.599,0.794,0.921,8.956,11.186,1.460
50,152.800,0.485,0.211,0.321,0.441,0.590,0.716,0.771,1.090,4.467,2.064
55,151.600,0.589,0.189,0.313,0.388,0.559,0.721,0.865,5.238,12.874,1.697
