Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,1454.400,0.833,0.399,0.649,0.742,0.873,1.034,1.208,2.005,71.765,1.201
5,1578.800,0.719,0.401,0.608,0.685,0.793,0.900,0.968,1.181,11.083,1.391
10,1586.200,0.735,0.394,0.605,0.687,0.796,0.913,0.993,1.405,26.631,1.360
15,1650.200,0.740,0.406,0.618,0.702,0.817,0.938,1.035,1.365,9.150,1.352
20,1685.600,0.715,0.409,0.608,0.684,0.788,0.899,0.969,1.213,3.956,1.399
25,1661.400,0.729,0.370,0.606,0.679,0.780,0.891,0.968,1.428,10.100,1.373
30,1621.200,0.712,0.405,0.607,0.683,0.785,0.889,0.949,1.155,10.561,1.405
35,1631.800,0.707,0.400,0.606,0.680,0.782,0.887,0.950,1.178,3.226,1.414
40,1629.200,0.708,0.380,0.606,0.679,0.779,0.880,0.938,1.099,12.875,1.412
45,1640.000,0.731,0.367,0.605,0.683,0.782,0.887,0.953,1.259,31.288,1.368
50,1682.800,0.702,0.380,0.606,0.679,0.777,0.870,0.933,1.086,3.679,1.425
55,1621.600,0.719,0.374,0.608,0.682,0.782,0.883,0.944,1.165,21.498,1.391
