Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,138.200,23.125,16.920,20.586,22.257,24.066,25.767,26.697,72.794,90.905,0.043
5,152.600,21.698,16.309,20.187,21.492,22.947,24.356,25.559,27.892,28.961,0.046
10,152.000,21.848,16.687,20.219,21.673,23.274,24.845,25.707,28.254,30.400,0.046
15,148.600,21.833,16.781,20.189,21.625,23.103,24.887,25.943,28.130,30.047,0.046
20,144.000,21.724,16.385,20.340,21.395,22.960,24.695,25.396,27.209,29.551,0.046
25,150.000,21.588,17.045,20.150,21.335,22.788,24.390,25.447,27.534,28.878,0.046
30,152.200,21.509,16.668,20.178,21.281,22.736,23.954,25.156,26.766,29.492,0.046
35,155.000,21.511,16.747,19.938,21.355,22.782,24.348,25.300,27.541,28.739,0.046
40,155.400,21.441,16.969,19.982,21.298,22.578,24.096,25.288,27.016,28.623,0.047
45,156.800,21.401,17.247,20.000,21.262,22.508,23.945,25.100,27.482,28.278,0.047
50,153.200,21.368,17.037,20.039,21.185,22.451,23.947,25.001,27.528,28.504,0.047
55,153.600,21.140,17.164,19.673,20.902,22.340,23.750,24.758,26.344,28.958,0.047
