Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,3407.800,2.930,0.220,0.744,1.780,3.066,4.552,7.365,24.307,114.215,0.341
5,3759.200,2.654,0.216,0.688,1.695,2.854,3.872,6.640,22.961,28.961,0.377
10,3699.200,2.700,0.219,0.688,1.687,2.877,4.038,6.992,23.333,30.400,0.370
15,3758.200,2.654,0.201,0.699,1.603,2.871,4.014,6.745,23.088,30.047,0.377
20,3905.400,2.558,0.209,0.684,1.634,2.810,3.789,6.449,22.729,29.551,0.391
25,3823.000,2.614,0.198,0.678,1.638,2.844,3.874,6.608,22.756,28.878,0.383
30,3803.400,2.626,0.214,0.684,1.668,2.863,3.854,6.586,22.736,29.492,0.381
35,3811.600,2.620,0.216,0.678,1.641,2.846,3.878,6.607,22.797,28.739,0.382
40,3787.000,2.638,0.190,0.682,1.674,2.845,3.851,6.678,22.647,28.623,0.379
45,3766.000,2.652,0.194,0.683,1.657,2.842,3.930,6.780,22.570,31.288,0.377
50,3853.000,2.595,0.211,0.677,1.616,2.833,3.844,6.747,22.442,28.504,0.385
55,3754.400,2.654,0.189,0.682,1.668,2.872,3.951,7.006,22.403,28.958,0.377
