Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,2372,2372.000,471,1037,2299,4217,3887,6394,20264,34991,114215
1,3485,3485.000,292,753,1688,2862,3090,4329,7363,24091,27590
2,3691,3691.000,220,710,1697,2702,2923,4056,6852,22991,27349
3,3739,3739.000,222,702,1696,2672,2870,3897,6778,23208,28735
4,3752,3752.000,240,726,1728,2660,3018,3995,6723,23984,28535
5,3630,3630.000,231,697,1704,2743,2878,4111,6942,23050,28241
6,3649,3649.000,237,697,1740,2736,2877,3929,6846,23488,28961
7,3787,3787.000,236,688,1699,2645,2852,3798,6500,22825,28403
8,3894,3894.000,216,687,1678,2569,2885,3806,6450,22959,28060
9,3836,3836.000,243,675,1650,2584,2792,3822,6615,22478,27693
10,3756,3756.000,232,668,1506,2665,2794,3982,6909,23225,29520
11,3736,3736.000,224,683,1743,2664,2889,3972,6980,22925,28399
12,3688,3688.000,242,688,1692,2707,2862,3845,6907,23708,30400
13,3772,3772.000,219,670,1665,2658,2804,3875,6614,23421,27308
14,3544,3544.000,252,741,1815,2813,3044,5221,7282,23323,28299
15,3504,3504.000,242,750,1622,2853,3037,5564,7726,24018,30047
16,3751,3751.000,244,704,1625,2644,2885,4049,6722,23266,29326
17,3810,3810.000,201,684,1648,2623,2836,3808,6385,22760,28374
18,3886,3886.000,237,680,1529,2572,2783,3739,6511,22692,27844
19,3840,3840.000,235,684,1613,2591,2837,3813,6441,22788,28130
20,3836,3836.000,233,705,1756,2610,2890,3892,6496,22688,29551
21,3900,3900.000,209,687,1606,2555,2790,3903,6457,23046,26857
22,4041,4041.000,259,676,1572,2469,2757,3652,6269,22540,26949
23,3857,3857.000,235,680,1650,2588,2845,3790,6434,22828,27528
24,3893,3893.000,228,669,1573,2569,2756,3748,6577,22538,28683
25,3739,3739.000,215,683,1627,2683,2839,3911,6927,23297,27784
26,3806,3806.000,213,677,1615,2627,2827,3890,6659,22664,27878
27,3791,3791.000,198,673,1663,2620,2880,3921,6707,22381,27511
28,3835,3835.000,213,678,1691,2609,2825,3799,6501,22951,28157
29,3944,3944.000,224,680,1582,2534,2864,3866,6454,22165,28878
30,3797,3797.000,220,692,1690,2634,2916,3987,6639,22772,27728
31,3956,3956.000,229,694,1659,2511,2867,3739,6320,22347,29492
32,3701,3701.000,230,685,1715,2704,2867,3906,6773,22643,26766
33,3775,3775.000,214,679,1673,2640,2850,3896,6556,22770,27151
34,3788,3788.000,243,673,1600,2645,2792,3824,6638,22904,27769
35,3751,3751.000,216,688,1675,2662,2902,4006,6646,22988,28502
36,3742,3742.000,245,670,1621,2670,2829,3851,6761,23302,28739
37,3883,3883.000,239,683,1658,2566,2844,3835,6396,22787,26921
38,3785,3785.000,235,673,1661,2639,2815,3864,6621,22384,27121
39,3897,3897.000,222,675,1599,2563,2834,3859,6599,22476,28317
40,3773,3773.000,202,686,1713,2652,2863,3844,6776,22873,27427
41,3904,3904.000,220,674,1617,2549,2805,3790,6421,22317,26298
42,3656,3656.000,229,668,1699,2736,2851,4100,6867,22667,27394
43,3756,3756.000,190,705,1836,2656,2914,3840,6733,22626,28623
44,3846,3846.000,220,673,1488,2602,2805,3865,6742,22388,28200
45,3833,3833.000,206,703,1672,2603,2866,3918,6583,22671,28079
46,3793,3793.000,194,669,1614,2639,2771,3900,6850,22532,27723
47,3720,3720.000,209,682,1722,2684,2884,3907,6659,22534,28123
48,3668,3668.000,206,688,1690,2728,2890,4173,7321,22760,31288
49,3816,3816.000,209,680,1610,2605,2808,3844,6759,22371,27551
50,3791,3791.000,211,682,1558,2633,2855,3895,6775,22670,27557
51,3928,3928.000,230,670,1561,2564,2767,3798,6824,22346,28504
52,3855,3855.000,228,690,1686,2580,2891,3833,6657,21892,26395
53,3857,3857.000,211,678,1629,2585,2823,3845,6684,22633,28013
54,3834,3834.000,221,674,1652,2612,2842,3823,6762,22562,28409
55,3749,3749.000,248,700,1692,2655,2929,4003,6995,22568,26551
56,3948,3948.000,221,684,1621,2539,2832,3751,6698,22201,27866
57,3785,3785.000,224,673,1641,2643,2875,3978,7011,22319,28958
58,3610,3610.000,206,678,1715,2761,2848,3958,7378,22866,26344
59,3680,3680.000,189,674,1675,2682,2880,4067,7553,22221,25996
