Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,91.200,14.806,6.123,8.067,12.434,16.881,25.505,34.502,57.396,91.691,0.068
5,99.800,14.772,5.758,7.256,12.742,17.398,28.433,39.038,53.053,67.949,0.068
10,83.400,16.605,5.892,7.287,13.288,19.457,34.153,45.615,55.951,71.371,0.060
15,73.000,17.585,5.558,7.367,13.842,21.231,35.148,47.801,57.143,60.104,0.057
20,87.600,17.578,5.748,7.358,14.742,20.668,38.784,44.913,58.887,64.356,0.057
25,78.600,17.125,5.966,7.449,14.382,19.479,34.591,46.269,56.568,66.590,0.058
30,69.000,20.583,5.450,8.333,15.894,27.066,43.146,53.756,65.182,67.233,0.049
35,99.400,14.630,5.664,7.054,11.831,16.547,27.248,38.191,58.648,64.930,0.068
40,77.000,18.621,5.828,7.211,14.654,22.832,38.825,49.410,65.380,67.798,0.054
45,80.200,17.797,5.480,7.291,14.099,21.513,37.447,48.688,64.341,70.126,0.056
50,72.800,19.147,5.262,8.612,14.452,23.246,42.545,51.609,61.378,64.889,0.052
55,62.400,16.273,3.873,7.304,13.992,20.030,31.393,44.868,50.619,58.158,0.061
