Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,89.000,1.031,0.292,0.526,0.806,1.155,1.523,2.042,7.734,13.249,0.970
5,91.200,0.744,0.270,0.418,0.493,0.770,1.216,1.564,2.629,20.520,1.343
10,84.400,0.923,0.254,0.413,0.526,0.891,1.489,1.885,7.640,30.424,1.084
15,73.000,1.153,0.280,0.438,0.648,1.049,1.465,1.942,13.005,36.856,0.868
20,83.600,1.002,0.256,0.412,0.602,0.940,1.355,1.837,9.944,28.315,0.998
25,77.200,1.052,0.272,0.429,0.574,0.955,1.472,2.056,9.181,25.263,0.951
30,67.000,1.702,0.238,0.516,0.832,1.359,2.080,3.050,32.959,35.596,0.588
35,98.200,1.051,0.267,0.425,0.559,0.846,1.479,2.094,14.216,21.546,0.951
40,77.400,1.251,0.271,0.460,0.670,1.142,1.901,2.431,17.905,27.603,0.800
45,84.200,1.094,0.270,0.434,0.620,1.078,1.600,2.045,13.068,32.521,0.914
50,77.800,1.490,0.269,0.461,0.675,1.261,1.838,2.578,28.841,37.345,0.671
55,56.200,1.268,0.228,0.475,0.666,1.157,1.850,3.270,9.466,28.409,0.789
