Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,960.000,1.802,0.529,0.822,1.039,1.637,2.490,3.834,19.193,84.844,0.555
5,994.600,1.669,0.499,0.743,0.909,1.527,2.547,3.685,13.555,36.882,0.599
10,945.800,1.722,0.502,0.741,0.941,1.564,2.802,3.812,16.230,46.489,0.581
15,842.200,1.890,0.496,0.747,1.113,1.914,2.894,3.736,22.242,38.026,0.529
20,857.000,1.879,0.496,0.751,1.017,1.836,2.887,3.850,19.295,37.422,0.532
25,866.400,1.862,0.493,0.755,0.991,1.857,3.079,3.908,19.412,41.448,0.537
30,759.800,2.075,0.493,0.777,1.261,2.101,3.288,3.928,24.111,42.069,0.482
35,988.800,1.698,0.456,0.722,0.887,1.398,2.485,4.068,16.905,36.208,0.589
40,832.000,2.033,0.481,0.744,0.997,2.041,3.215,3.925,24.273,41.122,0.492
45,844.600,2.089,0.483,0.733,0.978,1.845,2.949,3.775,20.948,1035.517,0.479
50,790.600,2.299,0.478,0.761,1.161,2.156,3.242,3.889,25.182,1029.698,0.435
55,632.800,1.747,0.380,0.733,1.008,1.920,2.891,3.905,11.882,32.806,0.573
