Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,2696,2696.000,456,1066,2447,3733,4377,7634,10396,21171,109210
1,2497,2497.000,427,1019,2291,3964,4746,9036,12584,25434,35158
2,2504,2504.000,319,908,2280,4007,4171,9786,13657,28133,39429
3,1877,1877.000,323,1234,2591,5325,6638,12991,19151,36040,58631
4,1562,1562.000,292,1485,3322,6395,7347,16167,23704,42949,59595
5,2452,2452.000,303,934,2291,4068,4550,9799,13459,25802,55855
6,2102,2102.000,277,947,2527,4712,5198,11617,15984,32842,53972
7,2867,2867.000,283,834,2025,3487,3845,9797,12585,19802,35952
8,2109,2109.000,308,930,2425,4752,5419,11048,16453,34374,53263
9,2020,2020.000,270,1091,2401,4932,5637,11586,19085,35923,67949
10,1932,1932.000,287,1212,2566,5164,5436,12344,21038,37320,48092
11,2380,2380.000,310,860,2157,4405,4290,8858,12311,33131,1043172
12,2992,2992.000,282,794,1947,3153,3594,8079,11042,17037,33702
13,2132,2132.000,254,1091,2463,4737,4941,11782,16095,39655,71371
14,1481,1481.000,328,1630,3259,6658,7397,15554,30409,43199,59638
15,1397,1397.000,321,1795,3306,7290,8421,16314,34288,46883,58074
16,1616,1616.000,338,1574,2899,6214,7348,13480,28006,42747,60104
17,1996,1996.000,292,989,2317,5194,5313,10681,15462,37647,1078124
18,2228,2228.000,280,962,2304,4222,4960,10250,15027,27159,44174
19,2389,2389.000,280,938,2299,4161,4577,9856,13935,30083,58593
20,1822,1822.000,325,1305,2647,5478,6837,13235,19959,36520,53301
21,2340,2340.000,282,862,2277,4246,4327,10653,15152,32123,51742
22,2251,2251.000,256,903,2267,4494,4591,11042,15126,37444,55372
23,1580,1580.000,262,1515,3099,6255,7411,14774,25770,42380,64356
24,1939,1939.000,284,1148,2494,5180,5588,12799,20184,36546,58887
25,1702,1702.000,304,1426,2928,5842,6754,13212,25273,40259,54434
26,1787,1787.000,287,970,2810,5549,5948,13102,18515,44848,66590
27,2370,2370.000,272,834,2267,4215,3945,10484,14614,35740,54646
28,2159,2159.000,306,1146,2406,4630,5266,10826,15735,31888,51076
29,2020,2020.000,317,1135,2358,4956,5667,11281,19105,37126,57400
30,1306,1306.000,398,1956,3528,7710,8738,16597,36167,48947,65182
31,2034,2034.000,288,1075,2504,4913,4975,11979,18996,39715,52125
32,1572,1572.000,336,1519,3029,6305,7158,14060,29703,46263,67233
33,1659,1659.000,270,1343,2813,5994,6815,14253,27054,42952,57953
34,2209,2209.000,238,1041,2290,4526,5062,11087,17339,30265,50293
35,2267,2267.000,304,1003,2265,4394,4765,10983,16574,30921,52184
36,2491,2491.000,267,860,2167,4026,4136,10426,13739,28231,64930
37,2152,2152.000,303,898,2412,4619,4410,11318,16210,37409,61481
38,2276,2276.000,300,864,2313,4409,4501,10678,14903,33068,58648
39,2456,2456.000,273,900,2294,4046,4335,9995,14738,25274,43780
40,2882,2882.000,271,805,2086,3478,3673,9687,12137,21563,38825
41,1162,1162.000,500,2231,4015,8577,9897,24399,34955,45239,64188
42,2222,2222.000,299,886,2437,4504,4355,10996,15128,39596,66570
43,1866,1866.000,281,1236,2601,5377,6358,12505,18961,40714,67798
44,1469,1469.000,308,1583,3215,6823,8072,16953,29046,42559,65702
45,2131,2131.000,285,970,2297,4638,5098,10808,16774,36256,50077
46,2092,2092.000,280,877,2249,5249,4661,11649,16244,40048,1035517
47,1939,1939.000,273,971,2431,4642,5613,11037,16829,30485,47388
48,1799,1799.000,270,1162,2792,5551,6362,14013,19957,41550,65388
49,1904,1904.000,326,1133,2727,5259,5753,12428,19000,38525,70126
50,1570,1570.000,311,1530,3115,6414,7455,14762,26899,43201,59619
51,1684,1684.000,283,1266,2621,5875,6850,13530,26173,42861,61378
52,1647,1647.000,294,1483,2933,6052,7142,13567,24916,42528,64889
53,1494,1494.000,318,1591,3318,6699,7983,15313,29119,45356,63832
54,2745,2745.000,269,814,2068,3752,3718,8877,11947,20092,1029698
55,2140,2140.000,270,889,2194,4536,4780,10662,16094,39663,58158
56,1896,1896.000,317,1286,2770,5275,5728,11920,21033,37907,50861
57,2284,2284.000,228,859,2091,6004,4019,9631,12499,30220,1074317
58,464,464.000,851,2343,5247,13472,9332,13022,16659,50275,1068900
59,544,544.000,380,1289,2803,4732,6640,10849,13489,25494,45186
