Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,11.600,2209.825,129.446,451.178,513.933,2157.727,3387.580,5144.785,31040.386,31040.386,0.000
5,5.000,2692.796,134.337,401.598,1167.764,3652.844,4602.997,6350.559,27873.146,27873.146,0.000
10,2.200,6042.940,158.729,326.875,2383.690,2691.300,26538.721,28045.055,28045.055,28045.055,0.000
15,6.000,1226.110,130.117,184.239,496.624,759.211,5599.625,5599.986,9027.854,9027.854,0.001
20,0.800,8342.314,6028.335,8008.507,9072.278,10260.136,10260.136,10260.136,10260.136,10260.136,0.000
25,0.400,4431.988,4230.956,4230.956,4633.020,4633.020,4633.020,4633.020,4633.020,4633.020,0.000
30,2.800,1701.782,152.156,249.343,2257.144,3436.672,3458.265,3509.067,3509.067,3509.067,0.001
35,11.000,838.623,138.174,191.924,474.501,614.833,2900.404,4449.477,6064.066,6064.066,0.001
40,1.400,5158.380,147.631,182.431,7145.796,7329.091,7444.354,7444.354,7444.354,7444.354,0.000
45,3.000,629.467,134.578,292.033,427.570,468.987,594.463,4179.872,4179.872,4179.872,0.002
50,4.000,1088.308,131.243,183.947,484.339,591.607,5022.973,6172.808,6172.808,6172.808,0.001
