Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
2,Payment,1741988256.945984,762544,0,1
5,StockLevel,1741988256.945985,2128881,9,1
3,OrderStatus,1741988256.946002,1680395,1,1
4,Delivery,1741988256.946011,4392889,4,1
5,StockLevel,1741988256.946023,2128284,6,1
2,Payment,1741988256.946038,762477,8,1
2,Payment,1741988256.946070,764064,5,1
2,Payment,1741988256.946077,762438,3,1
2,Payment,1741988256.946089,762557,2,1
1,NewOrder,1741988256.946107,945249,7,1
2,Payment,1741988257.708659,182720,0,1
2,Payment,1741988257.708660,183738,8,1
5,StockLevel,1741988257.708660,1365625,3,1
1,NewOrder,1741988257.708665,245593,2,1
2,Payment,1741988257.710163,377167,5,1
4,Delivery,1741988257.891392,4196070,7,1
2,Payment,1741988257.891401,188646,0,1
2,Payment,1741988257.892411,188434,8,1
2,Payment,1741988257.954279,126543,2,1
1,NewOrder,1741988258.080079,1231218,0,1
2,Payment,1741988258.080838,1724,2,1
5,StockLevel,1741988258.080864,994779,8,1
1,NewOrder,1741988258.082577,1228620,2,1
1,NewOrder,1741988258.087357,1352131,5,1
1,NewOrder,1741988258.626447,813056,1,1
2,Payment,1741988259.074315,170868,3,1
2,Payment,1741988259.074335,171123,6,1
1,NewOrder,1741988259.074902,364577,9,1
2,Payment,1741988259.075675,180952,8,1
1,NewOrder,1741988259.245207,295251,3,1
2,Payment,1741988259.245478,1561,6,1
1,NewOrder,1741988259.247059,258769,6,1
2,Payment,1741988259.256677,183393,8,1
1,NewOrder,1741988259.311223,305392,2,1
1,NewOrder,1741988259.311316,305274,0,1
1,NewOrder,1741988259.439501,242699,9,1
2,Payment,1741988259.439512,177597,5,1
2,Payment,1741988259.439516,178552,1,1
1,NewOrder,1741988259.440083,338929,8,1
2,Payment,1741988259.505856,111776,6,1
2,Payment,1741988259.540486,76960,3,1
2,Payment,1741988259.616612,1543,0,1
1,NewOrder,1741988259.616638,238483,2,1
1,NewOrder,1741988259.617121,218101,5,1
4,Delivery,1741988259.617458,3497759,3,1
5,StockLevel,1741988259.617646,695750,6,1
1,NewOrder,1741988259.618089,311708,1,1
2,Payment,1741988259.618167,151216,0,1
5,StockLevel,1741988259.682225,626379,9,1
5,StockLevel,1741988259.769421,312557,0,1
2,Payment,1741988259.779045,151235,8,1
2,Payment,1741988259.835258,245609,5,1
1,NewOrder,1741988259.855182,421927,2,1
5,StockLevel,1741988259.929826,729704,1,1
2,Payment,1741988259.930310,347233,8,1
2,Payment,1741988260.080914,196904,5,1
2,Payment,1741988260.082012,195995,0,1
4,Delivery,1741988260.277141,3607602,2,1
1,NewOrder,1741988260.277558,1276212,8,1
1,NewOrder,1741988260.277835,2778123,5,1
1,NewOrder,1741988260.278024,2713751,0,1
1,NewOrder,1741988260.308644,2683125,9,1
1,NewOrder,1741988260.313433,2742623,6,1
1,NewOrder,1741988260.659571,2332308,1,1
2,Payment,1741988261.338978,151045,4,1
5,StockLevel,1741988261.490053,677951,4,1
1,NewOrder,1741988261.553839,1702064,8,1
1,NewOrder,1741988262.087506,1168372,7,1
3,OrderStatus,1741988262.168046,630336,4,1
2,Payment,1741988262.798416,193731,4,1
1,NewOrder,1741988262.991796,329081,0,1
1,NewOrder,1741988262.991797,329097,9,1
1,NewOrder,1741988262.991901,363989,1,1
1,NewOrder,1741988262.992165,461198,4,1
1,NewOrder,1741988263.055983,397407,5,1
2,Payment,1741988263.056072,200510,6,1
2,Payment,1741988263.115258,142506,3,1
1,NewOrder,1741988263.255903,279107,7,1
1,NewOrder,1741988263.255920,263612,8,1
2,Payment,1741988263.256595,880,6,1
1,NewOrder,1741988263.257492,261971,6,1
1,NewOrder,1741988263.257786,428665,3,1
1,NewOrder,1741988263.320903,365474,0,1
2,Payment,1741988263.320914,132669,9,1
1,NewOrder,1741988263.355924,265812,1,1
1,NewOrder,1741988263.453386,233061,4,1
5,StockLevel,1741988263.453409,723324,5,1
2,Payment,1741988263.453598,168295,9,1
1,NewOrder,1741988263.519549,251412,6,1
1,NewOrder,1741988263.519551,241290,8,1
2,Payment,1741988263.535044,226148,7,1
2,Payment,1741988263.621768,323383,1,1
1,NewOrder,1741988263.621909,323327,9,1
1,NewOrder,1741988263.686414,395485,0,1
2,Payment,1741988263.686465,258751,4,1
1,NewOrder,1741988263.686467,258727,3,1
3,OrderStatus,1741988263.760870,670282,8,1
2,Payment,1741988263.761210,320886,7,1
2,Payment,1741988263.770999,174553,6,1
1,NewOrder,1741988263.884771,262577,2,1
1,NewOrder,1741988263.945178,304483,1,1
4,Delivery,1741988263.945213,3643915,3,1
1,NewOrder,1741988263.945230,202228,4,1
3,OrderStatus,1741988263.945255,717995,9,1
2,Payment,1741988263.945566,305815,6,1
2,Payment,1741988264.081928,168564,0,1
2,Payment,1741988264.082117,168553,7,1
