Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,4.800,1056.049,218.101,305.274,813.056,1702.064,2713.751,2742.623,2778.123,2778.123,0.001
5,8.600,475.563,202.228,263.612,394.725,660.874,859.627,911.462,1168.372,1168.372,0.002
10,4.800,1193.538,206.971,276.564,360.411,3359.218,3556.013,3617.532,3621.147,3621.147,0.001
15,5.800,1718.214,231.220,319.817,423.525,2897.612,5422.664,5425.185,5440.297,5440.297,0.001
20,4.600,789.287,248.049,317.186,379.961,459.317,2947.771,2948.037,2948.320,2948.320,0.001
25,6.800,425.557,245.561,312.267,429.498,516.408,566.423,660.292,664.776,664.776,0.002
30,7.400,1179.630,215.829,324.514,583.866,1255.726,3122.296,3168.165,3181.136,3181.136,0.001
35,6.200,992.515,213.534,303.983,657.447,1038.641,2687.105,2782.800,2842.000,2842.000,0.001
40,11.600,351.231,209.619,283.468,321.306,416.279,467.551,505.193,648.701,648.701,0.003
45,11.400,695.691,221.670,279.677,361.671,517.706,1772.632,3824.657,4177.010,4177.010,0.001
50,3.400,2470.233,296.394,2570.937,2728.879,2763.168,2857.758,2890.888,2890.888,2890.888,0.000
55,1.400,1449.433,272.806,287.079,669.197,3027.773,3124.005,3124.005,3124.005,3124.005,0.001
