Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,0.200,1680.395,1680.395,1680.395,1680.395,1680.395,1680.395,1680.395,1680.395,1680.395,0.001
5,1.200,648.862,602.621,618.531,653.404,670.282,717.995,717.995,717.995,717.995,0.002
10,0.200,744.114,744.114,744.114,744.114,744.114,744.114,744.114,744.114,744.114,0.001
15,0.200,615.351,615.351,615.351,615.351,615.351,615.351,615.351,615.351,615.351,0.002
20,0.800,671.572,600.714,603.086,611.041,871.447,871.447,871.447,871.447,871.447,0.001
25,1.400,605.653,598.512,601.958,606.228,609.307,610.532,610.532,610.532,610.532,0.002
30,0.400,606.392,594.937,594.937,617.847,617.847,617.847,617.847,617.847,617.847,0.002
35,0.600,631.039,595.313,595.313,596.110,701.695,701.695,701.695,701.695,701.695,0.002
40,0.600,662.146,585.287,585.287,645.151,756.000,756.000,756.000,756.000,756.000,0.002
45,1.200,600.570,584.536,593.202,604.391,607.706,612.809,612.809,612.809,612.809,0.002
50,0.200,641.325,641.325,641.325,641.325,641.325,641.325,641.325,641.325,641.325,0.002
55,0.400,651.722,603.753,603.753,699.690,699.690,699.690,699.690,699.690,699.690,0.002
