Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,5.800,267.469,1.543,151.216,182.720,245.609,762.544,762.557,764.064,764.064,0.004
5,6.000,169.171,0.575,137.635,170.792,200.510,320.886,323.383,395.531,395.531,0.006
10,7.800,77.816,0.443,0.704,1.104,170.409,247.669,261.919,323.317,323.317,0.013
15,5.000,107.864,0.576,1.057,138.790,164.542,236.856,238.731,244.199,244.199,0.009
20,5.400,126.340,0.482,0.942,157.284,217.541,248.863,257.105,269.140,269.140,0.008
25,9.200,125.620,0.551,0.939,158.444,193.709,252.876,267.966,507.134,507.134,0.008
30,6.000,93.785,0.404,0.696,118.226,150.434,216.443,313.274,313.978,313.978,0.011
35,5.200,78.052,0.353,0.683,53.893,152.577,188.101,197.502,267.105,267.105,0.013
40,10.600,131.208,0.367,0.781,144.663,205.608,249.450,364.124,462.186,462.186,0.008
45,10.400,118.008,0.429,0.716,146.896,198.978,240.546,336.316,397.677,397.677,0.008
50,2.200,40.436,0.365,0.607,1.435,1.880,201.414,233.459,233.459,233.459,0.025
55,1.800,85.615,0.670,0.853,81.840,154.182,191.722,191.722,191.722,191.722,0.012
