Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,1.800,1073.323,312.557,677.951,729.704,1365.625,2128.881,2128.881,2128.881,2128.881,0.001
5,0.600,664.745,619.023,619.023,651.888,723.324,723.324,723.324,723.324,723.324,0.002
10,1.400,600.521,218.801,609.357,635.088,666.992,807.696,807.696,807.696,807.696,0.002
15,0.400,736.198,646.796,646.796,825.599,825.599,825.599,825.599,825.599,825.599,0.001
20,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
25,0.200,621.757,621.757,621.757,621.757,621.757,621.757,621.757,621.757,621.757,0.002
30,1.000,635.075,613.272,613.289,623.544,624.091,701.181,701.181,701.181,701.181,0.002
35,0.400,688.173,634.669,634.669,741.677,741.677,741.677,741.677,741.677,741.677,0.001
40,1.400,645.252,238.021,641.407,666.391,746.327,833.845,833.845,833.845,833.845,0.002
45,1.000,648.897,608.873,630.868,639.174,646.181,719.387,719.387,719.387,719.387,0.002
50,0.600,493.559,182.905,182.905,632.279,665.492,665.492,665.492,665.492,665.492,0.002
55,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
