Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,13.400,897.559,1.543,183.738,347.233,1231.218,2713.751,3497.759,4392.889,4392.889,0.001
5,17.400,578.263,0.575,193.731,323.327,648.864,911.370,3280.380,4461.688,4461.688,0.002
10,14.800,703.228,0.443,1.010,238.292,516.418,3420.294,3621.147,5366.349,5366.349,0.001
15,11.400,958.115,0.576,141.860,252.995,474.649,4866.790,5422.664,5440.297,5440.297,0.001
20,12.000,759.319,0.482,176.828,284.900,522.184,3285.272,3370.628,4551.088,4551.088,0.001
25,18.600,457.327,0.551,158.444,264.762,498.444,610.532,3258.244,4164.207,4164.207,0.002
30,15.000,718.879,0.404,143.550,313.978,624.333,3067.923,3122.296,3181.136,3181.136,0.001
35,13.200,740.056,0.353,126.424,303.983,827.676,2724.088,2782.800,4323.668,4323.668,0.001
40,24.800,357.809,0.367,190.915,279.306,385.716,588.737,743.237,3257.063,4035.977,0.003
45,24.800,554.344,0.429,174.665,274.178,513.925,973.924,3780.238,4177.010,4528.848,0.002
50,6.400,1392.524,0.365,1.880,1485.732,2729.951,2792.878,2857.758,2890.888,2890.888,0.001
55,4.400,1171.144,0.670,104.170,295.436,3027.773,3429.120,3484.200,3484.754,3484.754,0.001
