Round	Start	End	Benchmark_Elapsed	Tuning_overhead
1	1742165911.1166186	1742166000.7348769	89.61825823783875	0.0
2	1742166001.6195056	1742166099.4333851	97.81387948989868	0.8846287727355957
3	1742166099.4603693	1742166196.266986	96.80661654472351	0.026984214782714844
4	1742166196.2926202	1742166292.6689217	96.37630152702332	0.025634288787841797
5	1742166292.695631	1742166389.8301456	97.1345145702362	0.026709318161010742
6	1742166389.8574622	1742166479.0684614	89.21099925041199	0.027316570281982422
7	1742166479.0959377	1742166575.9574022	96.86146450042725	0.02747631072998047
8	1742166575.985783	1742166673.7209597	97.73517656326294	0.028380870819091797
9	1742166673.7499347	1742166770.5311499	96.78121519088745	0.02897500991821289
10	1742166772.1338303	1742166864.2801025	92.1462721824646	1.6026804447174072
11	1742166864.3107898	1742166961.6097524	97.29896259307861	0.030687332153320312
12	1742166961.6408792	1742167054.5086935	92.86781430244446	0.031126737594604492
13	1742167054.5406039	1742167151.2713795	96.7307755947113	0.03191041946411133
14	1742167151.3034155	1742167248.251114	96.94769835472107	0.03203606605529785
15	1742167248.2839236	1742167344.613231	96.32930731773376	0.03280973434448242
16	1742167344.6491241	1742167442.3136308	97.66450667381287	0.03589320182800293
17	1742167442.330737	1742167539.8967922	97.56605505943298	0.017106294631958008
18	1742167539.9756882	1742167636.4490306	96.47334241867065	0.07889604568481445
19	1742167638.1597693	1742167733.337617	95.17784762382507	1.7107386589050293
20	1742167733.365035	1742167829.2568626	95.89182758331299	0.027418136596679688
21	1742167829.2936096	1742167918.6723685	89.37875890731812	0.036746978759765625
22	1742167918.681871	1742168011.4024777	92.72060680389404	0.009502410888671875
23	1742168011.4407535	1742168109.727586	98.28683257102966	0.038275718688964844
24	1742168109.7668364	1742168206.1447978	96.37796139717102	0.03925037384033203
25	1742168206.1843784	1742168299.4866824	93.30230402946472	0.039580583572387695
26	1742168299.588619	1742168397.3342738	97.74565482139587	0.10193657875061035
27	1742168398.8368824	1742168491.2494159	92.41253352165222	1.5026085376739502
28	1742168491.295941	1742168588.4308136	97.13487243652344	0.04652523994445801
29	1742168588.4745665	1742168681.1130033	92.638436794281	0.04375290870666504
30	1742168681.1572053	1742168774.8571172	93.69991183280945	0.04420208930969238
31	1742168774.9020603	1742168864.75644	89.85437965393066	0.04494309425354004
32	1742168864.8014908	1742168958.211552	93.41006112098694	0.045050859451293945
33	1742168958.2581975	1742169050.1843827	91.926185131073	0.0466456413269043
34	1742169052.0822968	1742169164.4313483	112.3490514755249	1.897914171218872
35	1742169164.4788256	1742169257.6803744	93.20154881477356	0.04747724533081055
36	1742169257.696132	1742169354.7510972	97.05496525764465	0.01575756072998047
37	1742169354.8003814	1742169450.5262713	95.72588992118835	0.04928421974182129
38	1742169450.5759742	1742169543.2811189	92.70514464378357	0.04970288276672363
39	1742169543.3312628	1742169639.3911283	96.05986547470093	0.05014395713806152
40	1742169639.4418454	1742169736.0152786	96.57343316078186	0.05071711540222168
41	1742169736.0672584	1742169832.262728	96.19546961784363	0.051979780197143555
42	1742169834.1728368	1742169931.782107	97.60927033424377	1.9101088047027588
43	1742169931.834896	1742170024.3833504	92.54845428466797	0.05278897285461426
44	1742170024.4355292	1742170114.0622392	89.62670993804932	0.05217885971069336
45	1742170114.1137035	1742170211.853785	97.7400815486908	0.05146431922912598
46	1742170211.9087164	1742170301.80264	89.89392352104187	0.0549314022064209
47	1742170301.8580096	1742170392.3126235	90.45461392402649	0.05536961555480957
48	1742170392.3618445	1742170489.5758786	97.21403408050537	0.049221038818359375
49	1742170489.635102	1742170585.759573	96.12447094917297	0.05922341346740723
50	1742170587.5510378	1742170680.0821304	92.5310926437378	1.7914648056030273
51	1742170680.1263294	1742170772.9000397	92.77371025085449	0.04419898986816406
52	1742170772.9449697	1742170866.5206592	93.57568955421448	0.04492998123168945
53	1742170866.549337	1742170963.234958	96.6856210231781	0.028677701950073242
54	1742170963.296399	1742171057.1170564	93.82065725326538	0.06144118309020996
55	1742171057.1811347	1742171155.2015638	98.0204291343689	0.06407833099365234
56	1742171155.2647521	1742171247.5132198	92.24846768379211	0.06318831443786621
57	1742171247.5731704	1742171344.724291	97.15112066268921	0.05995059013366699
58	1742171346.3729417	1742171438.598741	92.2257993221283	1.6486506462097168
59	1742171438.66154	1742171531.767442	93.10590195655823	0.06279897689819336
60	1742171531.8266728	1742171624.703186	92.87651324272156	0.059230804443359375
61	1742171624.7759228	1742171715.0053403	90.22941756248474	0.07273674011230469
62	1742171715.075611	1742171812.8033504	97.72773933410645	0.07027077674865723
63	1742171812.8526807	1742171910.7665246	97.91384387016296	0.04933023452758789
64	1742171910.8366032	1742172003.242483	92.40587973594666	0.07007861137390137
65	1742172003.315222	1742172100.778966	97.4637439250946	0.0727391242980957
66	1742172100.9239168	1742172197.1330538	96.20913696289062	0.14495086669921875
67	1742172198.9047885	1742172290.947667	92.04287838935852	1.7717347145080566
68	1742172290.9643912	1742172388.1436224	97.1792311668396	0.016724348068237305
69	1742172388.2107592	1742172484.9458144	96.73505520820618	0.06713676452636719
70	1742172485.017435	1742172581.4014673	96.38403224945068	0.07162070274353027
71	1742172581.484459	1742172678.045376	96.56091713905334	0.0829916000366211
72	1742172678.1219018	1742172770.6537871	92.5318853855133	0.07652568817138672
73	1742172770.6714864	1742172867.115268	96.44378161430359	0.017699241638183594
74	1742172868.6169114	1742172957.314511	88.69759964942932	1.501643419265747
75	1742172957.3932502	1742173050.5138516	93.12060141563416	0.07873916625976562
76	1742173050.5513167	1742173143.9607701	93.40945339202881	0.03746509552001953
77	1742173144.04211	1742173241.2338595	97.1917495727539	0.08133983612060547
78	1742173241.3141816	1742173334.2755008	92.96131920814514	0.0803220272064209
79	1742173334.295228	1742173433.3018637	99.00663566589355	0.019727230072021484
80	1742173433.3815918	1742173532.2883527	98.90676093101501	0.0797281265258789
81	1742173532.3695893	1742173629.5914192	97.22182989120483	0.08123660087585449
82	1742173631.2712858	1742173720.0846517	88.8133659362793	1.6798665523529053
